datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10798.395,10551.37879,10789.753,10322.58947,10880.714,10207.63221,11056.961,10228.66728,11292.433,10493.93739,11533.739,11240.9854,11733.28,12139.22309,11860.519,12378.72625,11918.037,12362.24688,11947.32,12408.83545,11963.95,12473.09419,11983.403,12355.20816,12017.248,12162.69602,12075.302,11941.24273,12139.403,11748.96342,12166.663,11596.7368,12126.932,11569.66575,12009.547,11774.12969,11843.173,12041.30795,11643.998,12022.65577,11409.377,11819.23186,11165.59,11426.65281,10970.396,10709.78828,10846.872,10059.08486
2018-02-13 01:00:00,10832.463,10322.58947,10808.742,10207.63221,10902.37,10228.66728,11086.643,10493.93739,11329.89,11240.9854,11576.973,12139.22309,11774.105,12378.72625,11891.964,12362.24688,11941.483,12408.83545,11962.636,12473.09419,11961.991,12355.20816,11953.967,12162.69602,11961.323,11941.24273,12000.3545,11748.96342,12055.358,11596.7368,12087.562,11569.66575,12069.979,11774.12969,11994.166,12041.30795,11880.494,12022.65577,11732.193,11819.23186,11529.681,11426.65281,11291.944,10709.78828,11068.22,10059.08486,10894.801,9640.141202
2018-02-13 02:00:00,10540.57,10207.63221,10716.329,10228.66728,10975.585,10493.93739,11286.038,11240.9854,11607.033,12139.22309,11884.943,12378.72625,12081.82,12362.24688,12196.011,12408.83545,12239.44,12473.09419,12253.376,12355.20816,12256.144,12162.69602,12264.391,11941.24273,12275.06,11748.96342,12288.027,11596.7368,12287.932,11569.66575,12243.28,11774.12969,12127.789,12041.30795,11923.019,12022.65577,11639.273,11819.23186,11302.259,11426.65281,10952.563,10709.78828,10649.596,10059.08486,10474.979,9640.141202,10456.3,9373.396517
2018-02-13 03:00:00,11144.484,10228.66728,11478.708,10493.93739,11795.471,11240.9854,12074.557,12139.22309,12311.799,12378.72625,12502.919,12362.24688,12638.176,12408.83545,12732.751,12473.09419,12793.927,12355.20816,12837.347,12162.69602,12856.679,11941.24273,12850.428,11748.96342,12808.738,11596.7368,12734.174,11569.66575,12619.443,11774.12969,12445.712,12041.30795,12204.138,12022.65577,11883.242,11819.23186,11481.863,11426.65281,11042.36,10709.78828,10677.827,10059.08486,10491.504,9640.141202,10533.507,9373.396517,10761.596,9246.693164
2018-02-13 04:00:00,11419.844,10493.93739,11734.58,11240.9854,11992.922,12139.22309,12182.178,12378.72625,12316.181,12362.24688,12407.465,12408.83545,12449.828,12473.09419,12457.302,12355.20816,12447.647,12162.69602,12444.613,11941.24273,12441.604,11748.96342,12427.955,11596.7368,12392.45,11569.66575,12338.646,11774.12969,12262.074,12041.30795,12146.68,12022.65577,11974.482,11819.23186,11724.421,11426.65281,11393.282,10709.78828,11028.7295,10059.08486,10744.228,9640.141202,10632.772,9373.396517,10732.505,9246.693164,10996.676,9233.149494
2018-02-13 05:00:00,12075.794,11240.9854,12389.573,12139.22309,12612.811,12378.72625,12742.8125,12362.24688,12805.67,12408.83545,12840.327,12473.09419,12867.537,12355.20816,12890.738,12162.69602,12900.144,11941.24273,12901.835,11748.96342,12870.249,11596.7368,12778.592,11569.66575,12613.569,11774.12969,12401.319,12041.30795,12169.0,12022.65577,11931.982,11819.23186,11698.25,11426.65281,11474.057,10709.78828,11261.723,10059.08486,11083.619,9640.141202,11005.812,9373.396517,11070.952,9246.693164,11286.126,9233.149494,11601.813,9436.646968
2018-02-13 06:00:00,12269.576,12139.22309,12448.829,12378.72625,12551.098,12362.24688,12575.925,12408.83545,12552.605,12473.09419,12519.51,12355.20816,12489.455,12162.69602,12468.486,11941.24273,12462.217,11748.96342,12463.681,11596.7368,12427.164,11569.66575,12316.427,11774.12969,12129.205,12041.30795,11897.611,12022.65577,11661.982,11819.23186,11451.822,11426.65281,11286.317,10709.78828,11189.777,10059.08486,11158.59,9640.141202,11187.642,9373.396517,11287.912,9246.693164,11456.813,9233.149494,11668.289,9436.646968,11887.57,10065.82654
2018-02-13 07:00:00,12152.324,12378.72625,12297.979,12362.24688,12361.97,12408.83545,12349.681,12473.09419,12291.603,12355.20816,12229.315,12162.69602,12179.842,11941.24273,12154.481,11748.96342,12163.22,11596.7368,12192.348,11569.66575,12184.987,11774.12969,12097.078,12041.30795,11918.175,12022.65577,11676.272,11819.23186,11411.776,11426.65281,11162.22,10709.78828,10953.486,10059.08486,10831.15,9640.141202,10809.049,9373.396517,10887.984,9246.693164,11060.18,9233.149494,11294.102,9436.646968,11549.682,10065.82654,11784.911,10811.20575
2018-02-13 08:00:00,12221.918,12362.24688,12283.807,12408.83545,12291.869,12473.09419,12257.954,12355.20816,12205.629,12162.69602,12160.444,11941.24273,12128.624,11748.96342,12112.826,11596.7368,12120.965,11569.66575,12141.357,11774.12969,12124.965,12041.30795,12033.759,12022.65577,11861.803,11819.23186,11637.705,11426.65281,11406.975,10709.78828,11207.0,10059.08486,11062.468,9640.141202,11010.73,9373.396517,11065.547,9246.693164,11218.776,9233.149494,11432.84,9436.646968,11653.801,10065.82654,11842.99,10811.20575,11982.913,10862.27064
2018-02-13 09:00:00,12161.593,12408.83545,12178.575,12473.09419,12151.111,12355.20816,12095.039,12162.69602,12029.553,11941.24273,11974.353,11748.96342,11935.62,11596.7368,11914.129,11569.66575,11916.563,11774.12969,11937.541,12041.30795,11935.979,12022.65577,11874.428,11819.23186,11737.21,11426.65281,11542.444,10709.78828,11333.059,10059.08486,11148.394,9640.141202,11012.832,9373.396517,10969.84,9246.693164,11045.709,9233.149494,11234.76,9436.646968,11479.205,10065.82654,11703.469,10811.20575,11870.392,10862.27064,11974.581,10757.91424
