datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,11081.532,10551.37879,11177.092,10322.58947,11318.545,10207.63221,11509.847,10228.66728,11723.128,10493.93739,11950.49,11240.9854,12139.783,12139.22309,12246.888,12378.72625,12269.44,12362.24688,12262.862,12408.83545,12275.706,12473.09419,12299.392,12355.20816,12315.206,12162.69602,12332.7705,11941.24273,12345.693,11748.96342,12317.692,11596.7368,12227.979,11569.66575,12072.148,11774.12969,11853.475,12041.30795,11594.01,12022.65577,11331.13,11819.23186,11119.22,11426.65281,11003.82,10709.78828,10968.376,10059.08486
2018-02-13 01:00:00,11126.129,10322.58947,11293.877,10207.63221,11482.691,10228.66728,11688.604,10493.93739,11890.242,11240.9854,12089.164,12139.22309,12239.758,12378.72625,12298.641,12362.24688,12269.344,12408.83545,12219.477,12473.09419,12207.936,12355.20816,12220.903,12162.69602,12227.192,11941.24273,12228.938,11748.96342,12219.776,11596.7368,12168.072,11569.66575,12055.636,11774.12969,11879.586,12041.30795,11644.574,12022.65577,11378.272,11819.23186,11124.182,11426.65281,10939.87,10709.78828,10869.304,10059.08486,10900.136,9640.141202
2018-02-13 02:00:00,11382.3125,10207.63221,11625.716,10228.66728,11840.166,10493.93739,12015.667,11240.9854,12150.876,12139.22309,12264.726,12378.72625,12324.252,12362.24688,12293.332,12408.83545,12186.527,12473.09419,12079.235,12355.20816,12034.142,12162.69602,12029.193,11941.24273,12018.197,11748.96342,11992.726,11596.7368,11949.839,11569.66575,11872.863,11774.12969,11750.667,12041.30795,11581.33,12022.65577,11369.536,11819.23186,11145.176,11426.65281,10952.882,10709.78828,10845.345,10059.08486,10857.018,9640.141202,10983.398,9373.396517
2018-02-13 03:00:00,11506.69,10228.66728,11760.187,10493.93739,11969.551,11240.9854,12125.6455,12139.22309,12233.999,12378.72625,12318.644,12362.24688,12349.729,12408.83545,12293.984,12473.09419,12168.898,12355.20816,12050.101,12162.69602,11999.174,11941.24273,11991.296,11748.96342,11976.331,11596.7368,11943.361,11569.66575,11891.303,11774.12969,11808.914,12041.30795,11687.976,12022.65577,11526.737,11819.23186,11329.339,11426.65281,11125.043,10709.78828,10957.841,10059.08486,10877.817,9640.141202,10915.255,9373.396517,11065.865,9246.693164
2018-02-13 04:00:00,11546.468,10493.93739,11819.282,11240.9854,12033.956,12139.22309,12179.935,12378.72625,12268.615,12362.24688,12328.947,12408.83545,12335.719,12473.09419,12257.146,12355.20816,12113.239,12162.69602,11980.891,11941.24273,11922.593,11748.96342,11912.336,11596.7368,11895.963,11569.66575,11858.879,11774.12969,11799.901,12041.30795,11711.123,12022.65577,11586.007,11819.23186,11423.74,11426.65281,11229.3955,10709.78828,11033.202,10059.08486,10879.897,9640.141202,10819.595,9373.396517,10881.445,9246.693164,11061.986,9233.149494
2018-02-13 05:00:00,11560.219,11240.9854,11830.495,12139.22309,12042.604,12378.72625,12186.5205,12362.24688,12274.009,12408.83545,12334.009,12473.09419,12340.845,12355.20816,12262.688,12162.69602,12119.564,11941.24273,11987.868,11748.96342,11929.541,11596.7368,11918.511,11569.66575,11901.114,11774.12969,11863.227,12041.30795,11803.897,12022.65577,11715.465,11819.23186,11591.6,11426.65281,11431.436,10709.78828,11239.732,10059.08486,11046.219,9640.141202,10895.307,9373.396517,10836.5,9246.693164,10898.315,9233.149494,11077.21,9436.646968
2018-02-13 06:00:00,11871.482,12139.22309,12054.757,12378.72625,12168.565,12362.24688,12224.186,12408.83545,12253.422,12473.09419,12287.126,12355.20816,12294.808,12162.69602,12248.551,11941.24273,12167.343,11748.96342,12094.126,11596.7368,12051.677,11569.66575,12005.154,11774.12969,11920.623,12041.30795,11806.136,12022.65577,11675.703,11819.23186,11537.157,11426.65281,11404.643,10709.78828,11290.438,10059.08486,11199.95,9640.141202,11137.229,9373.396517,11125.81,9246.693164,11177.133,9233.149494,11286.04,9436.646968,11443.316,10065.82654
2018-02-13 07:00:00,11969.113,12378.72625,12022.44,12362.24688,11994.161,12408.83545,11917.951,12473.09419,11847.362,12355.20816,11812.119,12162.69602,11795.196,11941.24273,11792.1455,11748.96342,11819.602,11596.7368,11863.857,11569.66575,11878.114,11774.12969,11814.368,12041.30795,11663.116,12022.65577,11456.603,11819.23186,11232.604,11426.65281,11023.025,10709.78828,10870.4375,10059.08486,10807.004,9640.141202,10851.073,9373.396517,10973.981,9246.693164,11159.112,9233.149494,11359.48,9436.646968,11528.472,10065.82654,11653.928,10811.20575
2018-02-13 08:00:00,12041.419,12362.24688,12102.282,12408.83545,12079.341,12473.09419,12008.461,12355.20816,11943.285,12162.69602,11914.493,11941.24273,11902.53,11748.96342,11901.692,11596.7368,11928.463,11569.66575,11971.351,11774.12969,11984.982,12041.30795,11917.589,12022.65577,11756.724,11819.23186,11536.273,11426.65281,11296.398,10709.78828,11070.685,10059.08486,10905.019,9640.141202,10833.708,9373.396517,10874.579,9246.693164,10998.048,9233.149494,11189.164,9436.646968,11399.863,10065.82654,11580.035,10811.20575,11714.385,10862.27064
2018-02-13 09:00:00,12028.478,12408.83545,12088.386,12473.09419,12063.648,12355.20816,11990.597,12162.69602,11922.958,11941.24273,11891.394,11748.96342,11878.034,11596.7368,11879.035,11569.66575,11910.666,11774.12969,11959.642,12041.30795,11977.765,12022.65577,11911.66,11819.23186,11748.287,11426.65281,11522.012,10709.78828,11274.586,10059.08486,11040.951,9640.141202,10868.858,9373.396517,10794.1875,9246.693164,10836.291,9233.149494,10964.753,9436.646968,11163.074,10065.82654,11380.819,10811.20575,11566.264,10862.27064,11703.517,10757.91424
