datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10607.483,10551.37879,10436.091,10322.58947,10395.75,10207.63221,10518.01,10228.66728,10768.833,10493.93739,11100.457,11240.9854,11427.552,12139.22309,11695.475,12378.72625,11883.865,12362.24688,11987.972,12408.83545,12011.692,12473.09419,11982.283,12355.20816,11911.252,12162.69602,11822.503,11941.24273,11757.85,11748.96342,11731.918,11596.7368,11732.718,11569.66575,11734.745,11774.12969,11719.316,12041.30795,11662.727,12022.65577,11541.031,11819.23186,11351.474,11426.65281,11127.318,10709.78828,10917.233,10059.08486
2018-02-13 01:00:00,9958.913,10322.58947,10049.478,10207.63221,10336.828,10228.66728,10764.055,10493.93739,11226.977,11240.9854,11639.024,12139.22309,11932.703,12378.72625,12124.966,12362.24688,12269.186,12408.83545,12379.422,12473.09419,12424.386,12355.20816,12413.486,12162.69602,12380.458,11941.24273,12363.084,11748.96342,12373.591,11596.7368,12373.304,11569.66575,12313.825,11774.12969,12155.0625,12041.30795,11896.931,12022.65577,11557.819,11819.23186,11157.181,11426.65281,10734.36,10709.78828,10354.516,10059.08486,10111.55,9640.141202
2018-02-13 02:00:00,10012.423,10207.63221,10231.05,10228.66728,10614.725,10493.93739,11078.24,11240.9854,11514.1455,12139.22309,11844.325,12378.72625,12028.141,12362.24688,12112.344,12408.83545,12154.249,12473.09419,12171.513,12355.20816,12142.854,12162.69602,12087.227,11941.24273,12032.807,11748.96342,12010.244,11596.7368,12026.411,11569.66575,12033.802,11774.12969,11971.932,12041.30795,11794.937,12022.65577,11512.075,11819.23186,11156.955,11426.65281,10760.999,10709.78828,10372.939,10059.08486,10061.646,9640.141202,9916.424,9373.396517
2018-02-13 03:00:00,10638.495,10228.66728,10972.443,10493.93739,11386.258,11240.9854,11789.629,12139.22309,12098.669,12378.72625,12265.981,12362.24688,12297.349,12408.83545,12251.702,12473.09419,12178.505,12355.20816,12106.876,12162.69602,12047.581,11941.24273,12024.239,11748.96342,12035.089,11596.7368,12073.854,11569.66575,12112.178,11774.12969,12088.904,12041.30795,11950.233,12022.65577,11671.19,11819.23186,11280.18,11426.65281,10838.25,10709.78828,10406.541,10059.08486,10070.481,9640.141202,9902.102,9373.396517,9950.909,9246.693164
2018-02-13 04:00:00,11453.372,10493.93739,11766.496,11240.9854,12062.305,12139.22309,12291.738,12378.72625,12419.93,12362.24688,12430.147,12408.83545,12355.315,12473.09419,12236.6455,12355.20816,12083.934,12162.69602,11938.271,11941.24273,11859.985,11748.96342,11874.963,11596.7368,11936.616,11569.66575,11998.535,11774.12969,12020.63,12041.30795,11954.568,12022.65577,11766.131,11819.23186,11457.064,11426.65281,11072.355,10709.78828,10679.569,10059.08486,10342.356,9640.141202,10150.32,9373.396517,10155.898,9246.693164,10366.025,9233.149494
2018-02-13 05:00:00,11539.061,11240.9854,11844.397,12139.22309,12090.755,12378.72625,12251.692,12362.24688,12314.892,12408.83545,12280.195,12473.09419,12186.253,12355.20816,12071.205,12162.69602,11936.45,11941.24273,11819.177,11748.96342,11768.535,11596.7368,11796.8,11569.66575,11845.197,11774.12969,11855.254,12041.30795,11787.67,12022.65577,11611.112,11819.23186,11317.791,11426.65281,10941.571,10709.78828,10548.294,10059.08486,10211.02,9640.141202,9977.708,9373.396517,9909.259,9246.693164,10027.297,9233.149494,10316.857,9436.646968
2018-02-13 06:00:00,12092.761,12139.22309,12303.71,12378.72625,12413.781,12362.24688,12425.161,12408.83545,12346.316,12473.09419,12200.341,12355.20816,12040.869,12162.69602,11901.686,11941.24273,11780.816,11748.96342,11700.022,11596.7368,11684.414,11569.66575,11729.004,11774.12969,11768.692,12041.30795,11729.316,12022.65577,11564.563,11819.23186,11269.955,11426.65281,10883.989,10709.78828,10482.467,10059.08486,10146.951,9640.141202,9952.147,9373.396517,9916.963,9246.693164,10054.317,9233.149494,10331.979,9436.646968,10696.63,10065.82654
2018-02-13 07:00:00,12014.308,12378.72625,12200.76,12362.24688,12303.959,12408.83545,12315.83,12473.09419,12226.098,12355.20816,12066.085,12162.69602,11898.147,11941.24273,11759.814,11748.96342,11648.72,11596.7368,11582.697,11569.66575,11569.153,11774.12969,11589.07,12041.30795,11582.712,12022.65577,11486.838,11819.23186,11262.397,11426.65281,10919.266,10709.78828,10515.905,10059.08486,10145.077,9640.141202,9880.67,9373.396517,9779.749,9246.693164,9846.05,9233.149494,10074.154,9436.646968,10406.54,10065.82654,10778.03,10811.20575
2018-02-13 08:00:00,12217.587,12362.24688,12287.115,12408.83545,12296.936,12473.09419,12247.311,12355.20816,12119.413,12162.69602,11940.684,11941.24273,11769.697,11748.96342,11639.398,11596.7368,11551.38,11569.66575,11510.605,11774.12969,11505.425,12041.30795,11512.579,12022.65577,11485.342,11819.23186,11376.104,11426.65281,11154.353,10709.78828,10839.366,10059.08486,10497.226,9640.141202,10216.674,9373.396517,10059.775,9246.693164,10070.929,9233.149494,10236.282,9436.646968,10526.374,10065.82654,10865.589,10811.20575,11181.657,10862.27064
2018-02-13 09:00:00,12560.833,12408.83545,12687.468,12473.09419,12763.0625,12355.20816,12797.585,12162.69602,12777.324,11941.24273,12707.7705,11748.96342,12619.012,11596.7368,12525.189,11569.66575,12416.081,11774.12969,12282.372,12041.30795,12113.474,12022.65577,11911.757,11819.23186,11663.043,11426.65281,11363.84,10709.78828,11019.393,10059.08486,10670.085,9640.141202,10380.742,9373.396517,10226.844,9246.693164,10230.34,9233.149494,10398.031,9436.646968,10687.848,10065.82654,11059.765,10811.20575,11457.878,10862.27064,11828.06,10757.91424
