datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10101.604,10551.37879,9985.827,10322.58947,10006.768,10207.63221,10177.496,10228.66728,10472.652,10493.93739,10834.183,11240.9854,11190.628,12139.22309,11467.143,12378.72625,11661.146,12362.24688,11764.523,12408.83545,11782.037,12473.09419,11721.191,12355.20816,11617.822,12162.69602,11522.944,11941.24273,11476.111,11748.96342,11486.802,11596.7368,11530.949,11569.66575,11559.961,11774.12969,11535.14,12041.30795,11439.841,12022.65577,11265.324,11819.23186,11017.175,11426.65281,10727.91,10709.78828,10446.113,10059.08486
2018-02-13 01:00:00,9647.968,10322.58947,9730.449,10207.63221,9992.208,10228.66728,10372.652,10493.93739,10779.376,11240.9854,11127.314,12139.22309,11373.098,12378.72625,11516.861,12362.24688,11623.014,12408.83545,11692.91,12473.09419,11702.581,12355.20816,11644.47,12162.69602,11568.425,11941.24273,11536.758,11748.96342,11570.239,11596.7368,11650.207,11569.66575,11719.335,11774.12969,11693.947,12041.30795,11534.267,12022.65577,11254.708,11819.23186,10892.986,11426.65281,10495.366,10709.78828,10127.761,10059.08486,9860.045,9640.141202
2018-02-13 02:00:00,9651.041,10207.63221,9909.228,10228.66728,10323.753,10493.93739,10801.291,11240.9854,11230.159,12139.22309,11531.02,12378.72625,11691.081,12362.24688,11739.366,12408.83545,11746.239,12473.09419,11730.621,12355.20816,11693.909,12162.69602,11632.979,11941.24273,11579.758,11748.96342,11576.007,11596.7368,11625.812,11569.66575,11687.647,11774.12969,11692.123,12041.30795,11566.003,12022.65577,11294.6045,11819.23186,10913.06,11426.65281,10482.979,10709.78828,10071.08,10059.08486,9753.793,9640.141202,9599.166,9373.396517
2018-02-13 03:00:00,10228.174,10228.66728,10591.551,10493.93739,11010.061,11240.9854,11387.818,12139.22309,11642.478,12378.72625,11739.994,12362.24688,11706.573,12408.83545,11583.356,12473.09419,11418.124,12355.20816,11257.761,12162.69602,11161.358,11941.24273,11151.377,11748.96342,11213.908,11596.7368,11320.856,11569.66575,11425.594,11774.12969,11464.8,12041.30795,11385.101,12022.65577,11155.364,11819.23186,10798.457,11426.65281,10374.918,10709.78828,9964.306,10059.08486,9646.586,9640.141202,9489.62,9373.396517,9522.879,9246.693164
2018-02-13 04:00:00,11049.401,10493.93739,11429.643,11240.9854,11731.759,12139.22309,11903.662,12378.72625,11936.222,12362.24688,11849.557,12408.83545,11688.327,12473.09419,11485.083,12355.20816,11259.027,12162.69602,11068.688,11941.24273,10997.487,11748.96342,11075.855,11596.7368,11238.941,11569.66575,11392.061,11774.12969,11458.384,12041.30795,11378.325,12022.65577,11135.899,11819.23186,10762.542,11426.65281,10329.535,10709.78828,9918.027,10059.08486,9599.834,9640.141202,9435.477,9373.396517,9470.122,9246.693164,9690.834,9233.149494
2018-02-13 05:00:00,11142.144,11240.9854,11537.052,12139.22309,11827.409,12378.72625,11969.721,12362.24688,11967.471,12408.83545,11856.139,12473.09419,11688.916,12355.20816,11499.771,12162.69602,11302.058,11941.24273,11143.109,11748.96342,11089.352,11596.7368,11158.543,11569.66575,11279.727,11774.12969,11358.403,12041.30795,11329.318,12022.65577,11149.49,11819.23186,10819.9,11426.65281,10395.197,10709.78828,9960.96,10059.08486,9597.4795,9640.141202,9363.279,9373.396517,9296.853,9246.693164,9423.347,9233.149494,9714.703,9436.646968
2018-02-13 06:00:00,11472.06,12139.22309,11808.439,12378.72625,12000.579,12362.24688,12030.447,12408.83545,11924.552,12473.09419,11747.266,12355.20816,11566.977,12162.69602,11418.55,11941.24273,11303.013,11748.96342,11237.964,11596.7368,11243.116,11569.66575,11305.282,11774.12969,11348.135,12041.30795,11288.016,12022.65577,11085.62,11819.23186,10739.908,11426.65281,10292.897,10709.78828,9835.996,10059.08486,9467.716,9640.141202,9256.683,9373.396517,9228.348,9246.693164,9375.314,9233.149494,9673.807,9436.646968,10062.318,10065.82654
2018-02-13 07:00:00,11598.4795,12378.72625,11882.694,12362.24688,12026.279,12408.83545,12016.175,12473.09419,11874.701,12355.20816,11668.522,12162.69602,11470.784,11941.24273,11321.784,11748.96342,11225.092,11596.7368,11185.962,11569.66575,11201.84,11774.12969,11246.589,12041.30795,11251.116,12022.65577,11146.621,11819.23186,10903.528,11426.65281,10535.685,10709.78828,10095.348,10059.08486,9676.841,9640.141202,9373.446,9373.396517,9245.373,9246.693164,9304.991,9233.149494,9529.49,9436.646968,9874.51,10065.82654,10267.025,10811.20575
2018-02-13 08:00:00,11635.937,12362.24688,11803.794,12408.83545,11864.542,12473.09419,11818.008,12355.20816,11675.012,12162.69602,11490.824,11941.24273,11333.297,11748.96342,11243.472,11596.7368,11218.114,11569.66575,11237.171,11774.12969,11269.865,12041.30795,11278.603,12022.65577,11217.122,11819.23186,11053.425,11426.65281,10782.132,10709.78828,10431.472,10059.08486,10054.07,9640.141202,9729.115,9373.396517,9534.121,9246.693164,9516.0,9233.149494,9672.73,9436.646968,9963.588,10065.82654,10320.599,10811.20575,10662.57,10862.27064
2018-02-13 09:00:00,11655.683,12408.83545,11799.182,12473.09419,11861.57,12355.20816,11857.692,12162.69602,11793.538,11941.24273,11697.112,11748.96342,11610.311,11596.7368,11562.899,11569.66575,11538.119,11774.12969,11498.32,12041.30795,11408.559,12022.65577,11248.607,11819.23186,11011.772,11426.65281,10703.394,10709.78828,10343.572,10059.08486,9981.372,9640.141202,9677.522,9373.396517,9493.561,9246.693164,9468.432,9233.149494,9614.63,9436.646968,9905.832,10065.82654,10285.363,10811.20575,10684.263,10862.27064,11029.213,10757.91424
