datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10547.869,10551.37879,10406.256,10322.58947,10354.358,10207.63221,10410.44,10228.66728,10594.143,10493.93739,10905.118,11240.9854,11278.285,12139.22309,11607.996,12378.72625,11863.284,12362.24688,12058.96,12408.83545,12162.35,12473.09419,12147.225,12355.20816,12045.669,12162.69602,11922.2295,11941.24273,11819.477,11748.96342,11757.908,11596.7368,11735.775,11569.66575,11741.766,11774.12969,11755.651,12041.30795,11744.269,12022.65577,11680.9795,11819.23186,11520.506,11426.65281,11261.918,10709.78828,10961.998,10059.08486
2018-02-13 01:00:00,10712.966,10322.58947,10780.463,10207.63221,10958.562,10228.66728,11234.055,10493.93739,11573.776,11240.9854,11922.582,12139.22309,12201.384,12378.72625,12351.674,12362.24688,12401.537,12408.83545,12403.213,12473.09419,12353.6045,12355.20816,12249.433,12162.69602,12119.535,11941.24273,11994.881,11748.96342,11885.961,11596.7368,11807.361,11569.66575,11753.367,11774.12969,11692.064,12041.30795,11589.992,12022.65577,11435.208,11819.23186,11231.896,11426.65281,10988.067,10709.78828,10744.061,10059.08486,10555.581,9640.141202
2018-02-13 02:00:00,10525.3125,10207.63221,10841.616,10228.66728,11268.637,10493.93739,11733.483,11240.9854,12152.316,12139.22309,12469.442,12378.72625,12654.736,12362.24688,12698.633,12408.83545,12647.883,12473.09419,12582.53,12355.20816,12536.057,12162.69602,12506.641,11941.24273,12482.577,11748.96342,12456.911,11596.7368,12399.596,11569.66575,12292.905,11774.12969,12108.831,12041.30795,11816.508,12022.65577,11408.141,11819.23186,10932.102,11426.65281,10472.619,10709.78828,10108.536,10059.08486,9898.897,9640.141202,9859.496,9373.396517
2018-02-13 03:00:00,10694.491,10228.66728,11071.691,10493.93739,11517.131,11240.9854,11953.12,12139.22309,12302.828,12378.72625,12536.06,12362.24688,12653.338,12408.83545,12658.525,12473.09419,12594.952,12355.20816,12541.253,12162.69602,12526.483,11941.24273,12533.002,11748.96342,12530.058,11596.7368,12502.915,11569.66575,12418.591,11774.12969,12260.167,12041.30795,12007.598,12022.65577,11641.313,11819.23186,11166.398,11426.65281,10648.701,10709.78828,10192.641,10059.08486,9887.352,9640.141202,9779.21,9373.396517,9853.241,9246.693164
2018-02-13 04:00:00,11121.578,10493.93739,11537.172,11240.9854,11977.505,12139.22309,12363.747,12378.72625,12627.866,12362.24688,12761.698,12408.83545,12786.767,12473.09419,12713.835,12355.20816,12588.403,12162.69602,12500.431,11941.24273,12482.265,11748.96342,12498.571,11596.7368,12498.837,11569.66575,12465.212,11774.12969,12369.766,12041.30795,12196.35,12022.65577,11922.191,11819.23186,11531.086,11426.65281,11034.128,10709.78828,10508.639,10059.08486,10074.945,9640.141202,9827.327,9373.396517,9804.456,9246.693164,9973.013,9233.149494
2018-02-13 05:00:00,11437.827,11240.9854,11988.595,12139.22309,12516.447,12378.72625,12935.405,12362.24688,13189.308,12408.83545,13269.971,12473.09419,13210.541,12355.20816,13058.558,12162.69602,12870.859,11941.24273,12731.343,11748.96342,12653.331,11596.7368,12595.246,11569.66575,12508.537,11774.12969,12379.275,12041.30795,12190.971,12022.65577,11926.686,11819.23186,11563.531,11426.65281,11101.62,10709.78828,10567.773,10059.08486,10038.823,9640.141202,9634.599,9373.396517,9455.513,9246.693164,9547.621,9233.149494,9872.063,9436.646968
2018-02-13 06:00:00,11247.409,12139.22309,11831.259,12378.72625,12332.805,12362.24688,12684.302,12408.83545,12864.017,12473.09419,12879.868,12355.20816,12777.587,12162.69602,12618.643,11941.24273,12451.765,11748.96342,12338.861,11596.7368,12266.506,11569.66575,12186.504,11774.12969,12050.302,12041.30795,11844.86,12022.65577,11563.978,11819.23186,11204.415,11426.65281,10767.138,10709.78828,10271.149,10059.08486,9768.006,9640.141202,9331.535,9373.396517,9058.57,9246.693164,9022.605,9233.149494,9248.328,9436.646968,9688.817,10065.82654
2018-02-13 07:00:00,11399.135,12378.72625,11906.174,12362.24688,12294.56,12408.83545,12541.57,12473.09419,12676.655,12355.20816,12719.726,12162.69602,12694.566,11941.24273,12631.815,11748.96342,12553.203,11596.7368,12488.016,11569.66575,12387.468,11774.12969,12201.886,12041.30795,11911.291,12022.65577,11524.477,11819.23186,11063.342,11426.65281,10567.997,10709.78828,10079.836,10059.08486,9630.182,9640.141202,9273.313,9373.396517,9059.9,9246.693164,9031.986,9233.149494,9203.597,9436.646968,9561.492,10065.82654,10050.323,10811.20575
2018-02-13 08:00:00,12069.297,12362.24688,12321.654,12408.83545,12401.995,12473.09419,12345.925,12355.20816,12234.725,12162.69602,12147.376,11941.24273,12117.362,11748.96342,12118.406,11596.7368,12126.535,11569.66575,12149.017,11774.12969,12117.678,12041.30795,11966.284,12022.65577,11681.981,11819.23186,11289.12,11426.65281,10812.618,10709.78828,10314.628,10059.08486,9867.128,9640.141202,9520.649,9373.396517,9333.913,9246.693164,9344.785,9233.149494,9563.635,9436.646968,9947.416,10065.82654,10419.146,10811.20575,10891.08,10862.27064
2018-02-13 09:00:00,12222.146,12408.83545,12423.568,12473.09419,12479.371,12355.20816,12426.086,12162.69602,12334.53,11941.24273,12266.097,11748.96342,12247.943,11596.7368,12252.21,11569.66575,12246.556,11774.12969,12226.337,12041.30795,12121.54,12022.65577,11875.987,11819.23186,11503.208,11426.65281,11053.403,10709.78828,10567.172,10059.08486,10103.175,9640.141202,9723.016,9373.396517,9485.063,9246.693164,9443.629,9233.149494,9607.715,9436.646968,9951.986,10065.82654,10411.5,10811.20575,10906.479,10862.27064,11355.934,10757.91424
