datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10410.089,10551.37879,10199.065,10322.58947,10154.477,10207.63221,10283.91,10228.66728,10575.253,10493.93739,11000.991,11240.9854,11479.1,12139.22309,11899.276,12378.72625,12218.517,12362.24688,12402.783,12408.83545,12451.795,12473.09419,12394.288,12355.20816,12289.831,12162.69602,12178.129,11941.24273,12082.976,11748.96342,12034.88,11596.7368,12033.629,11569.66575,12071.242,11774.12969,12100.333,12041.30795,12076.7,12022.65577,11950.893,11819.23186,11701.842,11426.65281,11349.629,10709.78828,10986.415,10059.08486
2018-02-13 01:00:00,10275.542,10322.58947,10333.828,10207.63221,10585.398,10228.66728,10943.583,10493.93739,11321.955,11240.9854,11663.357,12139.22309,11920.905,12378.72625,12076.447,12362.24688,12135.641,12408.83545,12098.48,12473.09419,11982.624,12355.20816,11823.259,12162.69602,11676.897,11941.24273,11579.138,11748.96342,11544.279,11596.7368,11567.67,11569.66575,11618.182,11774.12969,11662.946,12041.30795,11647.023,12022.65577,11537.651,11819.23186,11322.987,11426.65281,11032.699,10709.78828,10717.434,10059.08486,10465.452,9640.141202
2018-02-13 02:00:00,10363.308,10207.63221,10640.52,10228.66728,11057.02,10493.93739,11521.4795,11240.9854,11945.844,12139.22309,12273.364,12378.72625,12470.87,12362.24688,12553.733,12408.83545,12552.863,12473.09419,12475.844,12355.20816,12348.244,12162.69602,12193.269,11941.24273,12053.074,11748.96342,11961.17,11596.7368,11924.312,11569.66575,11914.112,11774.12969,11872.652,12041.30795,11754.049,12022.65577,11511.022,11819.23186,11138.409,11426.65281,10692.908,10709.78828,10281.738,10059.08486,9993.348,9640.141202,9894.117,9373.396517
2018-02-13 03:00:00,10637.571,10228.66728,10983.979,10493.93739,11413.803,11240.9854,11832.895,12139.22309,12175.851,12378.72625,12419.586,12362.24688,12558.616,12408.83545,12606.493,12473.09419,12587.312,12355.20816,12510.759,12162.69602,12419.547,11941.24273,12337.502,11748.96342,12280.921,11596.7368,12237.671,11569.66575,12180.476,11774.12969,12078.592,12041.30795,11903.224,12022.65577,11640.535,11819.23186,11272.71,11426.65281,10801.592,10709.78828,10294.981,10059.08486,9872.084,9640.141202,9632.747,9373.396517,9636.078,9246.693164
2018-02-13 04:00:00,10893.765,10493.93739,11277.648,11240.9854,11670.12,12139.22309,11987.817,12378.72625,12197.634,12362.24688,12307.05,12408.83545,12335.784,12473.09419,12286.527,12355.20816,12180.82,12162.69602,12040.126,11941.24273,11927.239,11748.96342,11865.07,11596.7368,11844.7705,11569.66575,11826.586,11774.12969,11759.376,12041.30795,11612.839,12022.65577,11373.632,11819.23186,11056.19,11426.65281,10667.448,10709.78828,10214.75,10059.08486,9773.76,9640.141202,9465.34,9373.396517,9385.394,9246.693164,9555.41,9233.149494
2018-02-13 05:00:00,11009.869,11240.9854,11440.47,12139.22309,11828.753,12378.72625,12113.663,12362.24688,12286.034,12408.83545,12363.428,12473.09419,12369.754,12355.20816,12303.077,12162.69602,12193.882,11941.24273,12058.555,11748.96342,11943.561,11596.7368,11851.929,11569.66575,11761.946,11774.12969,11632.659,12041.30795,11423.595,12022.65577,11119.567,11819.23186,10731.201,11426.65281,10303.872,10709.78828,9882.166,10059.08486,9498.903,9640.141202,9219.589,9373.396517,9119.3,9246.693164,9242.91,9233.149494,9576.343,9436.646968
2018-02-13 06:00:00,11546.356,12139.22309,11912.371,12378.72625,12175.34,12362.24688,12301.59,12408.83545,12309.128,12473.09419,12235.191,12355.20816,12117.995,12162.69602,11971.954,11941.24273,11853.746,11748.96342,11772.5625,11596.7368,11741.65,11569.66575,11724.782,11774.12969,11670.003,12041.30795,11511.744,12022.65577,11212.307,11819.23186,10779.958,11426.65281,10274.994,10709.78828,9789.962,10059.08486,9406.016,9640.141202,9172.412,9373.396517,9122.396,9246.693164,9265.689,9233.149494,9585.38,9436.646968,10036.093,10065.82654
2018-02-13 07:00:00,12035.596,12378.72625,12492.146,12362.24688,12831.584,12408.83545,13023.83,12473.09419,13071.779,12355.20816,12991.832,12162.69602,12820.426,11941.24273,12587.775,11748.96342,12365.615,11596.7368,12163.836,11569.66575,11991.943,11774.12969,11816.9375,12041.30795,11594.14,12022.65577,11277.143,11819.23186,10854.988,11426.65281,10358.227,10709.78828,9851.75,10059.08486,9421.568,9640.141202,9131.14,9373.396517,9016.0625,9246.693164,9097.255,9233.149494,9376.072,9436.646968,9824.439,10065.82654,10386.158,10811.20575
2018-02-13 08:00:00,12234.986,12362.24688,12610.603,12408.83545,12864.85,12473.09419,12989.135,12355.20816,12985.503,12162.69602,12860.768,11941.24273,12660.867,11748.96342,12436.093,11596.7368,12246.485,11569.66575,12070.357,11774.12969,11881.293,12041.30795,11637.142,12022.65577,11305.433,11819.23186,10871.233,11426.65281,10361.134,10709.78828,9836.897,10059.08486,9370.432,9640.141202,9041.2295,9373.396517,8892.363,9246.693164,8947.66,9233.149494,9202.231,9436.646968,9633.002,10065.82654,10187.722,10811.20575,10786.293,10862.27064
2018-02-13 09:00:00,12154.996,12408.83545,12442.961,12473.09419,12633.032,12355.20816,12729.226,12162.69602,12732.694,11941.24273,12648.404,11748.96342,12516.659,11596.7368,12370.727,11569.66575,12242.707,11774.12969,12092.361,12041.30795,11880.177,12022.65577,11572.534,11819.23186,11154.458,11426.65281,10634.157,10709.78828,10060.173,10059.08486,9521.032,9640.141202,9100.935,9373.396517,8881.375,9246.693164,8885.755,9233.149494,9114.138,9436.646968,9525.287,10065.82654,10062.708,10811.20575,10657.905,10862.27064,11230.498,10757.91424
2018-02-13 10:00:00,12158.546,12473.09419,12373.739,12355.20816,12509.124,12162.69602,12567.848,11941.24273,12541.686,11748.96342,12433.02,11596.7368,12278.3955,11569.66575,12109.58,11774.12969,11952.085,12041.30795,11769.232,12022.65577,11520.268,11819.23186,11180.041,11426.65281,10751.481,10709.78828,10250.858,10059.08486,9733.355,9640.141202,9286.8125,9373.396517,8981.67,9246.693164,8886.134,9233.149494,9010.604,9436.646968,9342.097,10065.82654,9815.774,10811.20575,10363.535,10862.27064,10924.678,10757.91424,11433.426,10768.36054
2018-02-13 11:00:00,12217.15,12355.20816,12320.491,12162.69602,12381.541,11941.24273,12402.648,11748.96342,12379.08,11596.7368,12312.668,11569.66575,12213.631,11774.12969,12073.856,12041.30795,11898.6,12022.65577,11663.584,11819.23186,11343.071,11426.65281,10937.267,10709.78828,10474.44,10059.08486,9991.802,9640.141202,9557.266,9373.396517,9264.228,9246.693164,9158.684,9233.149494,9272.651,9436.646968,9577.477,10065.82654,10024.965,10811.20575,10537.342,10862.27064,11051.559,10757.91424,11518.557,10768.36054,11900.062,10775.54392
2018-02-13 12:00:00,12270.8955,12162.69602,12366.168,11941.24273,12427.569,11748.96342,12452.645,11596.7368,12422.04,11569.66575,12326.9375,11774.12969,12157.777,12041.30795,11899.138,12022.65577,11554.352,11819.23186,11123.888,11426.65281,10645.209,10709.78828,10156.035,10059.08486,9706.833,9640.141202,9352.245,9373.396517,9144.284,9246.693164,9135.391,9233.149494,9306.36,9436.646968,9633.676,10065.82654,10053.186,10811.20575,10521.417,10862.27064,10976.718,10757.91424,11381.593,10768.36054,11731.018,10775.54392,12022.946,10795.73353
2018-02-13 13:00:00,12059.292,11941.24273,12146.665,11748.96342,12215.011,11596.7368,12252.4375,11569.66575,12229.877,11774.12969,12131.516,12041.30795,11939.975,12022.65577,11647.145,11819.23186,11263.977,11426.65281,10809.009,10709.78828,10339.123,10059.08486,9898.73,9640.141202,9542.689,9373.396517,9325.63,9246.693164,9284.03,9233.149494,9435.407,9436.646968,9718.686,10065.82654,10080.179,10811.20575,10450.009,10862.27064,10799.632,10757.91424,11095.197,10768.36054,11335.021,10775.54392,11548.558,10795.73353,11750.271,10773.13002
2018-02-13 14:00:00,11923.95,11748.96342,12026.46,11596.7368,12112.711,11569.66575,12153.1045,11774.12969,12090.376,12041.30795,11903.111,12022.65577,11576.596,11819.23186,11137.381,11426.65281,10631.118,10709.78828,10109.301,10059.08486,9669.954,9640.141202,9361.209,9373.396517,9222.24,9246.693164,9276.006,9233.149494,9510.721,9436.646968,9878.269,10065.82654,10272.528,10811.20575,10629.51,10862.27064,10907.014,10757.91424,11121.859,10768.36054,11274.099,10775.54392,11384.611,10795.73353,11508.281,10773.13002,11666.222,10852.78378
2018-02-13 15:00:00,11939.395,11596.7368,11990.057,11569.66575,12035.663,11774.12969,12039.404,12041.30795,11940.515,12022.65577,11713.496,11819.23186,11342.257,11426.65281,10860.383,10709.78828,10319.83,10059.08486,9791.488,9640.141202,9399.412,9373.396517,9202.277,9246.693164,9225.56,9233.149494,9453.156,9436.646968,9836.555,10065.82654,10304.589,10811.20575,10751.187,10862.27064,11123.812,10757.91424,11391.283,10768.36054,11574.142,10775.54392,11686.244,10795.73353,11756.157,10773.13002,11837.373,10852.78378,11940.586,10974.55664
2018-02-13 16:00:00,12074.708,11569.66575,12026.788,11774.12969,11940.83,12041.30795,11777.282,12022.65577,11503.953,11819.23186,11129.612,11426.65281,10677.442,10709.78828,10195.395,10059.08486,9737.828,9640.141202,9368.008,9373.396517,9184.802,9246.693164,9216.938,9233.149494,9455.643,9436.646968,9840.924,10065.82654,10298.614,10811.20575,10760.79,10862.27064,11160.029,10757.91424,11473.628,10768.36054,11684.948,10775.54392,11818.392,10795.73353,11896.513,10773.13002,11939.575,10852.78378,11987.24,10974.55664,12037.329,11098.30772
