stat,peak,0.5,0.8,1.0,1.2,1.5,avg,naive
25%,False,1.7047723856090948,1.6626097770773562,1.638661985342275,1.603014604892325,1.635781508247857,1.4698545077136551,1.4735034799514946
25%,True,2.253200520085087,2.143390427765027,1.999704620999669,1.902866108114556,1.881704691747173,1.9160642404586765,1.540677306791748
50%,False,3.59187959358407,3.546578569533686,3.4713533084910235,3.581669337787816,3.688586947318696,3.2496285702830243,3.3905161600820146
50%,True,4.750899755288114,4.598284522421483,4.309509044980151,4.25104133892354,4.319154044865493,4.186810601360534,3.839833241873877
75%,False,6.199308117366831,6.266169962697446,6.120729072348519,6.3991901237691255,6.735107351886775,5.772177627824825,6.552245366438782
75%,True,8.41789531129551,8.284518277524883,7.835333663632665,7.95472667180305,8.356791611726386,7.715905038775581,8.735373863893289
count,False,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0
count,True,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0
max,False,51.38354842269267,41.48482222095044,43.957530519106726,47.383880482892,45.35143881113086,41.386105917253545,36.32024520665325
max,True,59.94878175600961,60.430825353224506,59.80687739261364,62.9557005151602,63.66509599278503,60.87805656233473,59.66386949706599
mean,False,4.539145337936304,4.539815909054108,4.488069881851339,4.611392559671509,4.918632823579501,4.214074010458278,4.647517239156144
mean,True,6.134676650961148,6.0484432151049,5.854084011161216,5.899453255849304,6.149773027359484,5.696149489324864,5.982926658436972
min,False,3.708377308287275e-05,0.0003283139758149,0.0001281564061685,0.0001222706264446,0.0001208218643732,2.0535299769777343e-05,0.0010375688887884
min,True,4.9586932690734456e-05,3.648362205211021e-05,3.3583138162539854e-05,0.0002181297163413,7.284554038280888e-05,3.811552483530248e-07,0.0010514103680998
std,False,4.031713348118554,4.006989202120551,4.059017263835178,4.151101516662304,4.588260945113384,3.8585570564313256,4.407985285634828
std,True,5.5267419720812505,5.576505944437153,5.700624259049883,5.858778448821883,6.171648787374261,5.521323908265316,6.3077508359024375
