stat,peak,0.5,0.8,1.0,1.2,1.5,avg,naive
25%,False,1.70126544373165,1.5856561660989377,1.5364220070579562,1.7012417086842802,1.887469743493516,1.3880091815023845,1.4735034799514946
25%,True,2.268554750234067,2.0753271476292032,1.9277131093133044,1.7897596194061403,1.821982221386346,1.797467916590552,1.540677306791748
50%,False,3.602943752292462,3.529897481721658,3.453031304587074,3.722764431190088,4.0920075437774175,3.112487289166263,3.3905161600820146
50%,True,4.762942017503785,4.408491202696568,4.227398371595839,4.021563891513552,4.116078851892059,3.893431767335375,3.839833241873877
75%,False,6.706523340823206,6.805764923909101,6.6935039119062605,6.892651704779576,7.422537693612287,5.893837142155255,6.552245366438782
75%,True,8.17150920176422,8.007736541947487,7.890680518643127,7.6316745612150285,7.920038939380855,7.171079895634561,8.735373863893289
count,False,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0
count,True,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0
max,False,38.10125395155967,38.68031922168153,34.36275735632792,56.869680258538565,58.15628715235349,40.837271004320144,36.32024520665325
max,True,57.76611779331283,60.16157092011425,63.29670727921594,67.01702433944477,65.87152175002049,60.75473082220436,59.66386949706599
mean,False,4.739757457737947,4.809381924135393,4.760642027661366,5.06178695011805,5.403366551267873,4.281308914355132,4.647517239156144
mean,True,6.036788007516722,5.905626763847509,5.81594972879525,5.78632591440623,5.966749547488555,5.358884200171239,5.982926658436972
min,False,1.569708146344034e-05,1.4599821104354386e-05,0.000268754666452,1.5572963826359736e-05,1.9482888909437927e-05,1.9959691157282598e-06,0.0010375688887884
min,True,8.829612940087528e-06,1.3610469414789009e-06,0.0001025156307161,0.0001203774337135,2.59349912962305e-05,6.856787520227725e-06,0.0010514103680998
std,False,4.091454209517973,4.352139036062351,4.3911071953854695,4.936688973937583,5.085110552844792,4.077333179879135,4.407985285634828
std,True,5.379001928919051,5.58649396850276,5.697247785260892,6.141389123548698,6.396388681806203,5.395828486762534,6.3077508359024375
