,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
decile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,162.82832049999934,277.7870509999998,189.2272747500006,314.4457590000002,371.96894800000064,266.21657025000013,143.84779600000002,335.6806044999994,515.0881050000007,391.6067759999996,549.6151845000004,619.4996455,474.5937350000004,334.646616,572.882344249999,786.9726584999999,682.2792007500002,851.1514647499998,931.7654092500001,748.7838710000005,685.1894869999996,18504.0,18504.0,18504.0,18504.0,18504.0,18504.0,18504.0,4119.176555,3537.542459,3604.417459,3573.9664589999998,3829.717459,3475.6818590000003,3157.908479,420.11919632609175,576.259417547125,486.7007759856247,630.3752913212278,695.1279376187852,547.3241390447471,473.53834918223083,0.0264029999998456,0.0356270000011136,0.066941000000952,0.2596009999997477,0.0542910000003757,0.0043430000005173,0.0937450000001263,364.06040713879025,405.99552011770936,410.3105134443433,445.24525720106305,457.1356664250815,394.097983744318,458.82453170719094
2,190.21048574999944,195.77006249999977,211.7953005000004,241.27604825000074,276.1159965000006,201.23774275000005,210.51973800000087,397.9560835000002,445.7752365000006,458.2089974999999,547.1200269999999,608.2666895000011,455.7485880000004,485.837861,699.0986455000007,802.3620372500004,802.2698089999994,1009.2580457500007,1130.7944157499996,841.278212499999,900.6275019999994,18476.0,18476.0,18476.0,18476.0,18476.0,18476.0,18329.0,4300.875308999999,4896.072657000001,4041.352396,4696.395365999999,4849.812657,4239.065857000001,3504.702153,516.7279827377139,588.1909606159342,599.9661425661399,709.820861735657,778.1838486569062,603.8030741515479,661.0381515250151,0.0103419999995821,0.0609069999991334,0.0169999999998253,0.0749660000001313,0.0707399999992048,0.0378270000001066,0.3861440000000584,476.9789167822724,561.151689022858,555.7276701956738,631.2168887594767,656.8104393978088,559.4005126385896,616.6734470747239
3,181.90552000000025,177.52052000000003,206.23300999999992,249.3852399999996,292.7511599999998,207.13412999999852,139.16602000000057,401.1247399999993,394.5449800000006,456.12671000000046,532.6615699999984,612.9351999999999,446.3324499999999,373.0949959999998,730.1181500000002,761.6453000000001,817.6707200000001,937.85131,1050.4493399999992,803.2004400000005,867.1993890000012,18501.0,18501.0,18501.0,18501.0,18501.0,18501.0,18485.0,4152.060940000001,4068.41562,4130.700649999999,4270.961799999999,4363.19465,3889.3202500000007,3776.66921,529.4965622231231,555.1647008134696,596.8866041181558,688.5889906075347,749.470289286525,587.6215287222312,570.8553637211793,0.0105000000003201,0.0313800000003539,0.0678800000005139,0.0014800000008108,0.0886599999994359,0.0413200000002689,1.068569999999454,488.20516625173343,539.4453443108852,547.4528393785115,610.5911239701807,612.041887434097,536.883353762611,566.5686200653254
4,202.5233700000008,213.1574700000001,228.2936499999996,226.9309400000002,249.6786200000006,206.1585200000009,172.96495999999934,459.79010000000017,456.81812999999966,478.02275999999983,487.3932299999997,551.62133,446.93699000000015,380.1746000000003,807.53593,814.1191799999997,833.878569999999,882.5852699999996,981.4362900000016,791.7114600000004,841.4256099999984,18473.0,18473.0,18473.0,18473.0,18473.0,18473.0,18331.0,5096.80955,6039.243550000001,5996.59355,5821.115770000002,6224.3397700000005,5630.951149999999,5882.982600000001,588.3392557657122,618.4536318226601,642.7304099658962,686.3517072993017,724.2489196059114,610.1095585524821,605.589831106268,0.082749999999578,0.0058500000013737,0.0218700000004901,0.0575000000008003,0.1363700000001699,0.0122599999976955,1.0889700000006997,560.6332701826848,615.3927905879492,649.6627320140154,701.4882595454384,698.1957781631254,624.4921268223601,684.7957873104355
5,250.63514000000032,242.67396999999983,192.2781300000006,195.4211400000004,216.78844000000024,193.8859400000001,193.0916300000008,534.4183000000012,511.6350700000002,436.06387,442.2731299999996,470.9146299999993,429.2765999999992,457.9766899999995,898.1542499999996,874.0122499999998,795.4152600000016,795.6307900000011,799.719000000001,763.7338799999998,834.9442049999989,18485.0,18485.0,18485.0,18485.0,18485.0,18485.0,18391.0,5020.072899999999,5957.5849,5824.074899999998,5653.839900000001,5996.304899999997,5478.462099999999,5284.433869999999,633.0958765036517,626.0276566096836,569.7399641401136,588.5961306956991,608.8356251701379,552.917082520422,640.1053557888098,0.0792299999993702,0.0719699999990552,0.0076300000000628,0.0416700000005221,0.0559300000004441,0.1439100000006874,0.9791000000004716,517.6134027411765,540.1020976095567,541.393017834471,577.8680121604747,593.0812904775133,523.6459235293249,663.6878583856359
6,282.7859699999999,295.25719500000105,223.7721849999998,217.06185999999892,207.66512999999938,222.34676499999932,237.7415600000004,641.5321299999996,607.6473999999998,487.8525099999988,477.9453099999992,472.2561099999984,489.2653600000013,542.4172500000004,1110.572295,1018.5093150000002,920.6506600000002,851.3256599999995,851.9584599999998,880.6090800000002,1036.8447899999992,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18360.0,7804.70969,9664.89098,7263.089980000001,7717.976979999999,7547.044980000002,7836.289980000001,7083.76296,790.6630613166008,779.2007317239141,683.3309929074484,661.8902155384865,659.6633963444582,665.4977094217559,767.1848567464053,0.0110199999999167,0.0193600000002334,0.0672699999995529,0.043709999999919,0.1182100000005448,0.0144400000008317,0.9913200000009964,771.1674390784924,879.1492677254226,751.9398848307599,782.6185181617273,787.6895933240337,774.3222162777645,847.8131149699249
7,327.90884249999954,303.28076250000095,266.3148074999999,239.74702500000058,254.21523249999973,253.30461750000083,210.33638000000064,700.5263300000006,622.6844750000009,579.3209400000005,535.3703350000005,554.7932099999998,554.5890449999997,509.55724999999984,1221.7456350000002,1108.5126074999998,1047.6612324999999,969.1978199999994,964.7455249999998,982.5555199999999,1100.81401,18506.0,18506.0,18506.0,18506.0,18506.0,18506.0,18456.0,4389.98157,5337.387569999999,4471.697270000001,4904.078270000002,4483.463409999999,4677.175169999999,4394.302180000002,842.2379494850318,802.3286289792499,751.1834588322706,715.0107118399437,730.9796852615368,714.4437290992112,751.4728746280882,0.0212800000008428,0.1057700000001204,0.1098199999996722,0.0021699999997508,0.1077800000002753,0.0971599999993486,0.446749999999156,647.6402095522253,688.9846786330949,660.8040246387746,673.9248208820821,692.3836691384981,640.9232720143468,726.1917987035039
8,438.4817399999998,387.8653850000005,322.0377299999991,300.4467675000001,285.2764749999992,323.78574749999916,226.67267999999967,923.6281850000005,805.04745,719.3907550000013,662.9821700000002,634.62601,700.2198049999988,509.2604399999991,1543.5610149999998,1375.5553750000004,1322.7034299999996,1216.1110175000008,1164.1074499999995,1246.2099799999987,1235.2598099999996,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,5649.141370000001,7003.594369999999,5207.944800000001,5367.014370000001,5155.0128,5558.260569999999,5029.582730000002,1080.5702019112555,1016.4699479870131,916.3993550638527,879.4193595259741,857.7808214112554,897.3619877889611,820.5495268311688,0.0172400000010384,0.264420000001337,0.0371400000003632,0.1069200000001728,0.0036099999997531,0.1232400000008056,0.1480899999987741,818.632929948302,894.3651346705998,774.9098272120298,796.2562838004386,796.8376749916202,783.8160324174996,818.590350674738
9,540.5655425,419.90378999999893,404.44846999999936,351.2047925000011,292.1991799999996,378.38702750000084,190.72691000000123,1097.3770799999993,894.13735,828.3284100000001,758.0214550000001,648.0262149999999,790.5892600000006,478.4511250000005,1823.363752499999,1515.158645000001,1435.7559349999992,1335.0343625000003,1200.5413649999987,1404.7792374999976,1228.8662700000004,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,6854.489890000001,5282.988549999998,4225.240189999999,5497.865119999999,4749.227129999999,4085.084589999999,4792.817289999999,1252.6163786829006,1038.5968767683983,989.5988292380954,915.4943232878788,820.7847229426408,954.6471370476191,826.0848408441559,0.2796899999993911,0.088610000000699,0.0225399999999353,0.0018000000000029,0.0139100000014877,0.0744600000016362,0.6647699999994074,885.6975408115466,773.9004414805951,733.8044574088151,710.3726985518442,668.7374439033238,715.0530882083277,877.1834340256532
10,496.0675924999996,407.52714000000105,467.29039250000005,343.38124750000134,280.35957000000144,346.2243775000006,168.58397999999943,1040.8312449999985,891.5957499999968,882.4918549999984,743.1497100000006,624.5002600000007,746.5987749999986,399.3446249999997,1788.3566825000003,1471.2284224999994,1445.9447175,1269.0428325000012,1108.5537299999992,1321.7152625000017,785.4144400000005,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,6965.618650000002,7672.220269999998,4794.420269999999,7114.540200000001,4916.48388,4571.471069999996,4846.114900000002,1247.6299158625543,1042.0031407705628,1046.9241877683983,915.1652447694805,790.6400818863636,937.3124056829005,630.4850934155843,0.2288899999985005,0.0211500000004889,0.255780000003142,0.1601399999999557,0.0848799999985203,0.0083799999993061,2.0067200000012235,967.04241151014,822.9876910256093,773.6539741541518,757.0461303749254,676.4001273121298,770.2794249472239,725.9672239806347
