,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
decile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,160.57237225000017,152.33974175,162.80246500000067,197.81337225000016,233.73665674999938,165.25762849999865,143.84779600000002,342.8015170000008,341.44350849999955,367.0715880000007,426.2323795000002,487.83941849999974,360.04889000000003,334.646616,635.1346987499996,693.6857424999998,726.7506164999991,764.7831982500002,847.7637345000003,694.6603075000003,685.1894869999996,18504.0,18504.0,18504.0,18504.0,18504.0,18504.0,18504.0,3454.2484589999985,3456.183459,3259.3493610000005,5155.788458999999,5180.084459,3702.294958999999,3157.908479,453.5142549394726,482.8202547059014,506.834078311176,560.1245620479896,617.6261023520319,484.17948358279295,473.53834918223083,0.0042610000000422,0.0294049999993148,0.0243940000000293,0.0318520000000717,0.0463460000009945,0.0001660000016272,0.0937450000001263,397.1105947617032,443.74373778329584,455.3928114314726,521.543576534493,540.6599106950019,431.8277408250453,458.82453170719094
2,190.29873649999945,207.34797425000033,212.20905200000018,245.7787030000004,257.3479462500004,220.51631224999934,210.51973800000087,417.983526,453.80311600000005,477.46319349999976,501.9050455000006,544.7028035000003,444.1983480000008,485.837861,784.7213545,822.0452099999993,889.9139932500002,852.9442624999992,942.4906000000001,782.6032677499988,900.6275019999994,18476.0,18476.0,18476.0,18476.0,18476.0,18476.0,18329.0,4402.031657000001,4795.178657,5022.763657000001,5378.923813000001,5587.343738,4780.644457,3504.702153,582.5677967542758,620.9620910478459,657.474336956484,665.3960678942411,721.254814509959,606.9697968358952,661.0381515250151,0.0496579999999085,0.0001360000005661,0.0240819999999075,0.0134300000008806,0.0176890000002458,0.0671600000005128,0.3861440000000584,577.5906156975284,615.0828719844285,645.5151111235187,642.0837348648652,711.1926592985526,600.6244293613022,616.6734470747239
3,202.1535299999996,220.482,227.50561000000016,188.6640100000004,210.09033999999883,206.96664999999848,139.16602000000057,437.1512299999995,480.3759499999997,493.20366999999897,451.6007700000009,486.4307800000006,446.0845199999985,373.0949959999998,797.3994899999998,837.7700800000002,880.4652600000009,854.9211300000006,896.5172899999998,788.4839799999991,867.1993890000012,18501.0,18501.0,18501.0,18501.0,18501.0,18501.0,18485.0,3686.80165,3702.1226499999993,3721.993340000001,5507.45665,5554.520649999999,4020.496350000001,3776.66921,581.8216688897897,625.7445939760013,647.833317162856,626.4981317977406,657.1728122701475,581.2376991811253,570.8553637211793,0.0702199999996082,0.0100800000000162,0.1134000000001833,0.0196699999996781,0.0436199999985547,0.0029799999992974,1.068569999999454,524.4486916886851,562.0224473616177,576.7372420227792,622.8772179597789,627.0198380090867,518.1530577982815,566.5686200653254
4,184.1498499999998,191.6354699999993,196.6519700000008,178.16308000000026,194.39525999999933,172.43183999999928,172.96495999999934,406.9618099999989,426.6197100000009,429.77938,416.1932300000008,447.5802100000001,381.8795800000007,380.1746000000003,764.6231500000013,812.8494200000005,818.8550899999991,799.6312099999996,843.0613400000002,706.3387099999982,841.4256099999984,18473.0,18473.0,18473.0,18473.0,18473.0,18473.0,18331.0,5455.706770000001,5133.038770000001,4841.98755,7290.1837700000015,7165.574770000001,5647.28117,5882.982600000001,566.0730221945541,601.8411346960429,604.899097060575,625.5334598408488,654.8769946689764,544.0422325231418,605.589831106268,0.0638699999999516,0.0520799999994778,0.0825899999999819,0.079200000000128,0.0584899999994377,0.0260399999988294,1.0889700000006997,575.2831681295607,615.1761950699145,602.3440430682455,750.9897544100179,766.4715856832897,605.1313613699964,684.7957873104355
5,178.59097999999904,184.31363000000056,189.6857799999998,203.9402000000009,224.0077199999996,169.22755999999754,193.0916300000008,388.9480199999998,408.62607000000025,408.0705799999996,448.8540300000004,471.2245399999993,365.6589700000004,457.9766899999995,720.2821600000007,735.7671100000007,742.5592300000008,827.1820299999999,859.054329999999,655.9626000000007,834.9442049999989,18485.0,18485.0,18485.0,18485.0,18485.0,18485.0,18391.0,4740.303899999999,4788.9319,4629.707899999999,6911.205899999999,6720.465899999997,5287.590899999999,5284.433869999999,513.2477956672977,529.5942140335407,525.4173401000812,633.2238522169326,665.7696352658912,496.55269836029214,640.1053557888098,0.0010099999999511,0.0074199999999109,0.0874499999990803,0.030429999998887,0.00296999999955,0.0073899999988498,0.9791000000004716,467.7475590855094,485.8383137016652,468.5420425869157,665.1515955808014,688.8814894608295,502.26246483085094,663.6878583856359
6,203.07926000000043,184.14634999999998,170.00363499999912,210.24296500000128,236.0281849999992,160.03828500000054,237.7415600000004,435.26420999999937,409.5633699999999,383.90480000000025,473.59438000000046,506.6055800000013,360.0523400000002,542.4172500000004,793.5595899999998,787.1246599999995,746.5179149999994,872.3429100000003,922.0539450000006,701.5135199999995,1036.8447899999992,18487.0,18487.0,18487.0,18487.0,18487.0,18487.0,18360.0,6858.446980000001,7142.85398,7515.081979999999,7336.667980000002,7482.276980000002,7213.278580000002,7083.76296,616.4825303402391,608.7804618358847,588.8981602899336,689.4991137426299,744.3004726878347,563.0649807518797,767.1848567464053,0.0020400000012159,0.0534599999991769,0.0426399999996647,0.0018400000008114,0.0284100000008038,0.0148899999985587,0.9913200000009964,707.8589419058493,742.9837198874446,765.7362656462385,815.6560803893695,861.4874264549167,747.3559446964837,847.8131149699249
7,239.650810000001,212.4955774999994,209.17483999999968,235.13364750000028,233.0785600000008,180.31656249999972,210.33638000000064,509.1404400000001,471.4503600000007,460.91839999999956,513.2652349999998,527.1578600000003,414.24424999999974,509.55724999999984,909.34364,880.5985599999995,861.8758650000004,945.4594575000007,981.938747499999,798.9562900000005,1100.81401,18506.0,18506.0,18506.0,18506.0,18506.0,18506.0,18456.0,3898.4232900000025,4004.82029,4105.632569999998,4226.627570000001,4464.2042900000015,3941.8815699999977,4394.302180000002,660.8878456116935,632.8420672522424,629.1429307300334,699.764827398141,723.1176744358587,583.2286821025614,751.4728746280882,0.0166000000008352,0.0740499999992607,0.1132199999992735,0.0689500000007683,0.033770000000004,0.000850000002174,0.446749999999156,572.1238554187285,577.6169153440085,591.8293138670073,659.6483614530589,690.181096338466,569.2908852553633,726.1917987035039
8,322.95824750000065,277.53308749999997,268.13069749999886,241.55857249999963,256.9708249999994,203.2134449999985,226.67267999999967,690.8871699999991,594.1515449999997,585.3860699999996,537.1483449999996,556.4908400000004,465.79505000000063,509.2604399999991,1206.0708324999996,1103.4087875000005,1095.0780625000002,1041.9373274999998,1030.6511024999993,953.4293200000012,1235.2598099999996,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,4539.319800000001,4477.370800000001,4850.495800000001,5308.198799999998,5421.983799999998,4834.438600000001,5029.582730000002,857.8718550714286,793.2882745595238,787.2961733354978,769.4950446363637,774.0075125681818,686.5684695984847,820.5495268311688,0.1847200000011071,0.3299700000006851,0.0706200000004173,0.1427199999998265,0.0026899999993474,0.0592899999992369,0.1480899999987741,710.4070493083062,704.9133175710248,725.1227449342953,753.2969034107446,756.0369480302116,692.2074625160674,818.590350674738
9,445.62449250000094,343.63633000000027,279.20312749999994,229.1994975000007,231.27850250000031,247.08289750000222,190.72691000000123,860.5206300000009,722.1312549999993,643.971880000001,503.2626050000008,516.8467500000006,543.6324649999988,478.4511250000005,1426.2173975,1314.6162900000004,1192.744009999999,949.839265,966.9585874999995,1027.1339150000003,1228.8662700000004,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,4767.35396,4538.806960000002,4624.902960000001,3958.2789600000015,3689.22104,3615.8482900000017,4792.817289999999,1017.3828934015152,918.5525165584417,835.5204899621212,687.248956943723,681.6180715530303,721.2363454870131,826.0848408441559,0.0229799999997339,0.1778400000002875,0.0234099999997852,0.0425099999993108,0.0858100000004924,0.1808500000024651,0.6647699999994074,756.5001102370541,748.7168632211943,725.007408341213,631.3960773883216,593.2118758488942,626.6385789235138,877.1834340256532
10,695.1615750000001,451.6186149999985,303.74361750000116,232.88181500000155,193.42682500000137,328.5091199999979,168.58397999999943,1085.6226299999998,859.48171,659.9265599999999,492.1328349999985,428.7565250000007,675.5195100000019,399.3446249999997,1622.4703774999998,1516.2279974999983,1252.9181875000004,903.8792800000002,804.9065275000012,1180.676405000002,785.4144400000005,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,5718.637150000002,5517.127150000002,5477.81553,5179.166369999999,3887.91259,4556.78635,4846.114900000002,1251.2264359383116,1074.461458767316,918.4062105800866,676.8818359512987,596.5202849123376,849.1158654999999,630.4850934155843,0.205019999997603,0.0396399999990535,0.0178699999996752,0.0206199999993259,0.0051899999998568,0.0061700000005657,2.0067200000012235,825.703065778026,846.4658151938686,854.5009898045928,655.9088915531581,573.7415772343854,696.2823165567838,725.9672239806347
