,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,207.87757999999943,248.72840799999994,197.00928699999895,231.7748604999997,249.64052999999967,211.2188914999997,189.00860100000136,438.7173969999985,503.8911079999998,434.09546000000046,487.8319460000002,509.1354599999995,444.7963600000003,403.1768799999991,782.5215810000009,835.1194025000004,757.2674824999995,818.0086609999998,851.6406989999996,746.3097000000007,733.6128710000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3766.21061,4067.6886099999992,3307.094014,3928.78961,3573.5650140000016,3550.2142099999965,2975.789904000001,557.9475937478903,595.7341013480462,536.6580709110737,583.0699278265611,607.111466692198,531.8089430460859,512.0573097892956,0.0212800000008428,0.0775599999997211,0.1676000000006752,0.0269399999997403,0.0707399999992048,0.0719109999990905,5.19729599999846,471.25655586041904,465.8883381967893,449.9850985757471,465.5852767160995,471.74618298217285,425.4152779617032,443.1881536097788
1,195.61000500000046,237.28063049999946,191.18543050000062,220.22992000000067,232.45567499999925,208.62026699999933,158.76008000000002,419.14136999999937,482.9025099999999,410.7074099999991,452.64080999999896,468.6559720000005,419.0556290000004,366.73413000000073,742.8854259999998,779.7885064999991,704.743915,755.4540965000006,783.5992704999999,699.7702450000006,673.3391019999999,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,4152.060940000001,3605.1389400000007,2985.069738,3841.33923,3247.331884000001,3116.754140000001,2874.381534,522.054868514994,557.3049489548227,501.1597060572504,542.8915874421654,559.5393083914059,498.84400393418144,470.3584976394062,0.1953800000010233,0.2959600000012869,0.0447610000010172,0.2812100000010105,0.0542910000003757,0.0688909999989846,0.2169040000007953,430.1392207520157,424.35145916985533,414.24468597136115,431.49607914820814,437.7154427153224,388.9990483250903,421.5641651419095
2,196.25130499999977,236.41990499999972,188.69439049999983,213.69197499999973,221.80875449999985,206.74528949999967,129.7503289999995,403.32077000000027,470.0964700000004,396.6244690000003,438.7918000000009,449.13081000000057,410.70230000000265,325.552185999999,717.1704050000008,744.4078235000006,675.0989099999997,718.1399000000001,737.6758769999997,676.3691450000006,635.5855780000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,4300.875308999999,3302.324309,2724.1733330000006,4444.474564,3311.6234399999994,2777.813709,2695.4208770000005,502.0714579561211,536.2256120425808,481.52282672906654,518.9719811281318,529.751668773335,481.2781203284435,435.26366248756347,0.0671099999999569,0.0356270000011136,0.066941000000952,0.1130099999991216,0.2026499999992665,0.0413200000002689,0.0937450000001263,401.97954087246995,397.27493519191734,390.36359057739867,411.2529092491134,413.99092276901524,366.0016046466853,404.4612031316964
3,190.86966500000017,238.8054135000002,185.2504570000001,205.7746419999994,214.7496874999997,201.90058299999964,131.03321999999935,406.7643360000002,476.2353359999997,391.2590980000005,435.8365809999996,440.95854599999984,408.1824099999994,305.47569699999985,712.2539560000005,751.5597360000002,675.7376834999986,714.3217399999994,724.3637020000006,685.343081,620.1508400000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,4183.307561,3188.818561,2570.122506000001,4696.395365999999,3357.7706,2494.388793,2579.474993,492.2829718466832,536.6204984085421,474.2165429109438,511.6886857508763,520.891228190705,477.12080533233814,421.2540838290142,0.088396000001012,0.2038629999988188,0.0169999999998253,0.0662099999990459,0.2847099999999045,0.0144400000008317,1.7397799999998824,385.56041901013793,387.6357621640433,379.58834416004765,405.2387821203308,406.9632029413133,357.1932428308588,393.704396772253
4,190.4884655000005,242.16785150000032,183.17773000000034,204.1325880000013,212.11942499999986,200.9187950000005,137.86092300000018,406.0368299999991,484.3571600000014,386.4200000000001,434.186819999999,442.4390199999998,409.1368020000009,311.10491,715.7801199999994,763.94506,682.7747580000005,717.7120319999995,719.6563644999997,685.8148849999989,605.0848999999998,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3944.168657,3090.764857,2404.506032000001,4392.545127000001,3165.67742,2394.584165,2477.7344350000003,494.259971300013,540.7964910063612,474.0578423419447,508.37957939685845,515.4254078964041,475.07458800181746,431.36930935434305,0.0110199999999167,0.0193600000002334,0.1480200000005425,0.0416700000005221,0.0879500000010011,0.1958119999999326,1.323007000000871,387.30359554056326,385.30706076685317,374.1718552668289,395.32425286606906,397.32695833496285,350.875829579827,400.79928828191254
5,189.6441389999991,222.51570599999923,188.8180480000001,200.27287549999983,196.41250499999933,180.44467299999994,166.8361270000005,414.8290799999995,459.4636999999984,397.4428000000007,435.114950000001,436.13009000000056,398.594975,408.1115000000009,796.7756350000009,774.1446449999994,744.4223835000003,746.8319549999997,732.5627400000012,709.5966079999989,750.7673570000006,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3374.8528640000004,2891.290000000001,2321.204442,3649.1468600000007,2473.4168200000004,2211.0238420000005,2341.3231020000003,548.362525238219,543.0132823699857,507.150832646761,514.7780161736986,505.0508572475659,485.7585619828638,521.7084820182316,0.0264029999998456,0.0812379999988479,0.3216699999993579,0.0780099999992671,0.1077800000002753,0.0043430000005173,0.3861440000000584,460.51227980820744,412.3178351611577,405.29425638195283,393.09087501792186,385.55985242354626,378.49769464467914,457.9117108769954
6,258.03060500000083,253.55868500000088,234.92304750000042,222.69577000000027,222.5450950000004,222.3205050000006,184.58032700000058,549.2531149999995,531.5384869999998,496.53479999999945,490.56542999999874,484.0209099999993,472.0047400000003,475.23855,1019.8263750000006,919.8685414999991,914.8865449999985,855.9209869999986,827.0457100000003,837.0145450000009,1019.1996200000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3273.79926,2910.072259999999,2998.62818,3146.019259999999,3104.5442600000006,2803.09786,2794.90928,703.429760153966,647.3953885416071,622.6746021402051,594.5290083349345,574.7238142482149,589.9723322079709,668.8232295949992,0.1059999999997671,0.2913899999985005,0.377649999998539,0.0014800000008108,0.148352000000159,0.0378270000001066,2.0557499999995343,577.5292334705972,515.7615490060344,490.49535526530735,464.29619158834373,442.7885203023187,474.50549225720266,583.482734043826
7,251.04844849999972,249.5956054999997,220.85699000000022,223.5220650000001,226.64199999999983,205.3327250000002,192.32144449999942,522.1506900000004,544.9120059999987,476.6954399999995,480.0854399999989,496.1392300000007,467.2028399999999,490.5348799999993,912.1451449999994,951.0551329999989,823.4006650000001,846.8988900000004,848.9654810000002,826.2653050000008,1086.3626399999994,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3260.92707,3298.88941,2859.8850699999984,3137.379069999999,3051.2240699999984,2818.731469999999,3072.130091000001,651.7974947056991,662.4015856988186,577.1096024935738,582.4151736268986,584.2862096219654,567.2016419433986,699.1450064387288,0.1054199999998672,0.0313800000003539,0.0897999999997409,0.2191000000002532,0.1475199999986216,0.1074400000015884,4.670669999999518,533.9921149576504,527.60831681687,454.95411571347995,450.6782696320513,449.7422529913846,451.8894558016964,618.1611717407126
