,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,172.08506550000038,188.40291350000007,167.64893800000027,189.8202895000004,203.7762730000004,171.15923699999985,189.00860100000136,374.83203200000025,396.1676800000005,369.2998489999991,415.39854000000014,434.760330000001,360.03524000000107,403.1768799999991,674.6715000000004,685.7026569999998,658.7566099999995,712.0122169999995,768.6298135000006,637.6432199999999,733.6128710000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,5393.61361,4311.83261,5840.21661,4973.777610000001,4741.83661,4788.30471,2975.789904000001,491.65319274853954,499.0922486355965,479.137106728028,512.3594722030377,555.1812629736467,461.12015569051016,512.0573097892956,0.2159199999987322,0.0458260000013979,0.1636699999999109,0.0597500000003492,0.1809199999988777,0.1163740000010875,5.19729599999846,460.51671861824923,430.4820836626128,450.2651445995481,440.39757939485787,487.60489602626853,416.4500218397697,443.1881536097788
1,163.60246500000085,162.41095750000022,158.2782099999995,165.04677450000054,175.48319999999967,145.79178349999984,158.76008000000002,351.84587999999894,353.25399299999845,335.5659400000004,368.47631999999976,383.7062300000016,319.27876000000106,366.73413000000073,618.3090894999996,606.5803145,591.3078379999997,638.0341260000005,680.6490285000009,567.1974970000001,673.3391019999999,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,5144.70594,3843.067940000001,5486.961940000001,4521.516940000001,4249.96794,4433.749540000001,2874.381534,454.76422992068024,446.24549737985194,432.76502470894457,454.79848638335716,490.0230835104504,410.2480175989874,470.3584976394062,0.0037200000006123,0.0423940000000584,0.0494830000006913,0.0399130000005243,0.0502400000004854,0.0977300000013201,0.2169040000007953,419.85371693212204,390.9138540311184,406.2937901515668,395.1762495110438,437.1399649953237,375.8685030952469,421.5641651419095
2,164.2992809999996,156.22461899999962,154.1560555000001,154.8776324999999,152.7426000000005,136.93813099999988,129.7503289999995,342.58259499999986,331.41783099999884,318.0250479999995,339.4596599999986,347.2193900000002,301.2322749999985,325.552185999999,589.9759599999998,584.3633725,553.8549999999996,600.1104715000001,629.8237534999989,532.997045000001,635.5855780000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,4721.660308999999,3804.822308999999,5078.744309,3936.285308999999,3710.798309,4030.432908999999,2695.4208770000005,436.17277206828516,419.472819557575,408.2251806101518,422.5029375220044,448.22396188757625,385.06495025470593,435.26366248756347,0.1047600000001693,0.2481600000010075,0.009570000000167,0.0146270000004733,0.170444999999745,0.0083329999997658,0.0937450000001263,391.9531699091793,365.18276421830853,372.73903317205884,361.15864836457115,400.8979756277283,346.55349610575087,404.4612031316964
3,163.08536249999997,153.81864699999915,147.8929664999996,153.44969649999985,154.40700500000003,137.21174000000156,131.03321999999935,339.8632259999995,331.86384999999973,318.4675079999988,339.5144369999998,340.6849999999995,306.8890130000018,305.47569699999985,590.6680240000001,584.7549949999993,559.4754475000009,598.3823445000007,624.9016449999999,541.7507769999993,620.1508400000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,4081.014561,4010.396561,4442.772561,3265.798561,3271.057561,3516.540561,2579.474993,430.82282446462415,417.3732085718551,401.0088740782812,420.1520264373621,441.23794698987405,383.3330027639881,421.2540838290142,0.1360839999997551,0.094970000000103,0.0269500000013067,0.0650299999997514,0.1274959999991551,0.0020399999993969,1.7397799999998824,376.2678485630287,356.28424874989605,354.7741901463321,350.03912685937166,387.16758254709123,333.66509417883475,393.704396772253
4,162.87604650000048,154.47178800000074,144.47085049999987,157.53498499999932,160.80049150000013,138.5424099999991,137.86092300000018,343.89107299999887,337.3396300000004,319.6409999999996,352.35401999999885,351.2453399999995,315.0510749999994,311.10491,603.0763800000004,613.7112780000002,576.0219794999994,605.7560800000001,636.7099309999994,553.2499895000001,605.0848999999998,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3208.050857,4079.834857,3556.307857,2535.6930649999995,2929.964856999999,2821.237256999999,2477.7344350000003,437.1282479158769,427.77421435258987,404.80511310112945,427.86446180630924,447.84495043930934,389.8356579039335,431.36930935434305,0.1186420000012731,0.0859200000013515,0.0041699999983393,0.1013790000015433,0.01404999999977,0.0218899999981658,1.323007000000871,373.27359154741697,358.55028740925883,349.6490328357537,348.59930796905036,384.07843762821614,329.988089328047,400.79928828191254
5,186.81301200000053,161.51154099999985,163.66577150000103,159.18318999999974,159.9590204999995,150.51499449999937,166.8361270000005,400.3024800000003,358.476396,352.98945000000094,339.5761300000013,351.24354700000004,327.42571000000135,408.1115000000009,704.4077199999992,662.0732465000001,625.5746849999996,592.9730399999999,648.0243899999987,589.3994150000017,750.7673570000006,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3201.80745,3943.981,2625.25295,2467.1246300000003,2896.8538100000005,2491.4283000000014,2341.3231020000003,497.6460213078022,457.50501237725564,443.22694220537454,423.39540942126445,447.4775018089056,413.3939394786447,521.7084820182316,0.0977519999996729,0.2625609999995504,0.0644109999993816,0.1237799999998969,0.1887800000004063,0.0373619999991206,0.3861440000000584,410.5344183232466,380.3508327245755,367.57328700277077,347.876126434933,376.9545057646778,341.87000545399616,457.9117108769954
6,242.1497435000001,209.05333899999914,208.2835899999991,204.59489199999916,211.91636500000004,195.7093500000001,184.58032700000058,520.8181399999994,450.97126000000026,470.20092000000113,421.3144709999997,446.0465800000002,438.6014469999991,475.23855,883.2635799999998,785.9071695000002,798.1184335000007,704.8823560000001,745.8920799999996,731.3397450000011,1019.1996200000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3519.60248,3826.3959799999993,2963.519620000001,2828.9219900000007,3495.226989999999,2871.6210199999987,2794.90928,621.4039061254057,548.2328742653511,552.7845959480721,504.00043297053094,525.4137726483187,512.4569815879528,668.8232295949992,0.106420000000071,0.1129099999998288,0.0681699999986449,0.0618900000008579,0.0363699999998061,0.0617499999989377,2.0557499999995343,489.49692802077266,434.22314828100536,434.87834810148956,396.4561547056796,406.03546761578036,402.32023932313456,583.482734043826
7,215.18978500000048,187.02995900000042,205.11519000000044,193.5254449999993,198.81133000000045,193.11031999999796,192.32144449999942,440.93354,408.44475000000057,428.6450599999989,408.6882399999995,433.4954010000001,389.7520459999996,490.5348799999993,741.3424649999997,692.9573395000007,698.4490285000002,722.0176589999992,762.1201999999994,655.8938700000008,1086.3626399999994,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3381.1269300000004,3659.6944300000014,2933.5469300000004,2825.3170900000005,3479.669090000001,2697.3699300000007,3072.130091000001,533.7996650411528,494.43905309879267,508.666438788524,507.8796543287031,530.7109839511879,472.01796404907174,699.1450064387288,0.2152840000017022,0.3244299999987561,0.1247500000008585,0.0916899999992892,0.0312099999991914,0.1328699999994569,4.670669999999518,432.7299720528934,403.58967800813707,404.2140943949893,410.2468567967703,423.6819241170567,375.66258902870925,618.1611717407126
