,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,175.78671499999928,188.97036000000026,185.0021399999996,217.73921999999948,244.7850529999996,163.87478499999997,189.00860100000136,382.56799899999896,400.55419900000015,400.5930499999995,469.3116599999994,520.2700810000006,362.5539400000016,403.1768799999991,725.0762649999997,765.8578299999999,745.9073964999998,806.6334504999995,852.9493705000004,650.9706164999998,733.6128710000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3111.790014,3314.966014000001,2998.3496099999998,4826.303014000001,4984.088014000001,3401.124014000001,2975.789904000001,506.9294101812281,533.613687278463,524.6477492610671,586.2582545140855,625.0576666864857,471.33032476671434,512.0573097892956,0.1920539999991888,0.0014700000010634,0.0899370000006456,0.1388160000005882,0.0176890000002458,0.0129989999986719,5.19729599999846,435.79532687578285,455.59004450855986,449.94725803436376,512.0871177543743,521.9812030518324,418.17564942351,443.1881536097788
1,162.97289499999988,166.88225499999953,159.50541099999919,192.54376149999914,216.51797299999998,149.26457449999998,158.76008000000002,352.7775079999992,354.8946199999991,353.0959129999992,404.9180720000004,449.60509999999886,317.5433699999994,366.73413000000073,653.0904575000004,689.9036030000007,675.3316134999995,709.6661050000002,752.3142474999995,584.5933370000002,673.3391019999999,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,2571.232258,2890.375884000001,2663.729940000001,4482.295884000001,4601.2308840000005,3005.7032839999997,2874.381534,460.8793448501882,474.4192842766454,468.140318520187,517.8588205412177,548.9069421777231,418.3479239687135,470.3584976394062,0.0017900000002555,0.2197660000001633,0.0678449999995791,0.2423449999987497,0.037319999999454,0.0471500000003288,0.2169040000007953,392.0861356759202,409.50246518288355,404.5446776850677,459.0711755654718,464.55339917562844,370.9818830423517,421.5641651419095
2,159.88205749999906,144.1172875000002,144.49693900000057,167.36352050000005,184.949748,134.15288000000055,129.7503289999995,340.8528900000001,327.650748,319.4581900000012,352.522101999999,389.0857539999997,295.8489600000012,325.552185999999,615.2508499999994,631.5036520000003,630.6691659999997,645.0194299999994,683.0121374999994,545.156347000001,635.5855780000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,2362.568564,2448.803667,2446.681809,3892.067667000001,3987.146667000001,2680.3878669999995,2695.4208770000005,436.93263798753736,436.1569641238479,433.1220726880436,463.12192693340256,490.4956731543554,386.37836290977543,435.26366248756347,0.0020400000012159,0.0712100000000646,0.0404690000013943,0.0018400000008114,0.1669899999997142,0.0001660000016272,0.0937450000001263,364.1126900861827,378.25763829771773,376.34915325223005,416.70506112547287,419.51833442213183,338.76202627123916,404.4612031316964
3,160.26410750000014,142.60981750000064,142.55851950000033,162.2938920000006,179.49850349999997,135.1071334999997,131.03321999999935,336.546620000001,319.9398199999996,312.46191,348.9280340000005,377.6489380000002,294.63717,305.47569699999985,603.7413890000003,605.498223999999,619.0290990000003,619.2905704999998,662.5343540000003,539.2567149999995,620.1508400000002,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,2147.9868780000006,2324.601993,2319.912560999999,3378.74266,3347.7549930000005,2480.326393,2579.474993,428.4337070677658,420.862306472673,423.3483690604959,446.6968280627028,474.8611396080747,380.4877294515124,421.2540838290142,0.1186099999995349,0.0520799999994778,0.0243940000000293,0.0466140000007726,0.0436199999985547,0.0020059999988006,1.7397799999998824,352.7796846280212,362.23863579750014,369.74718576194186,392.70295601758863,397.1172400835705,327.9754266433395,393.704396772253
4,165.61013249999996,146.06133000000045,146.31352500000048,162.14220450000084,181.13151150000067,134.15582200000063,137.86092300000018,342.1751800000002,322.0937350000004,310.3005489999996,345.7541399999991,381.22483999999895,291.45375199999944,311.10491,608.1784250000001,595.0702284999998,601.762866,607.2537949999996,654.2125175000001,538.7967880000006,605.0848999999998,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,2028.2657,2145.030065000001,2242.727997,3094.05331,3063.8893099999987,2268.353864999999,2477.7344350000003,432.3139658600545,417.6541867716474,422.87799187563286,439.73790658496694,469.11800157912506,378.7327705447228,431.36930935434305,0.2643310000003112,0.0309270000016113,0.1103299999995215,0.030429999998887,0.0606280000010883,0.0029799999992974,1.323007000000871,353.9309864834559,355.6925883917673,369.73291074063764,377.5406372974275,383.5459683318257,323.6288218040045,400.79928828191254
5,181.4218705000003,157.8095755000004,143.19567000000006,154.99445500000002,164.53359949999867,131.19553500000075,166.8361270000005,387.71494800000073,330.37640999999894,317.5564110000014,337.3006299999997,352.3358869999993,291.3342139999986,408.1115000000009,662.902137,624.0625979999995,601.1720865000007,606.8242100000007,620.179255,532.9570314999992,750.7673570000006,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,2559.1193299999995,2466.4753299999998,2537.103442000001,2774.7543000000005,2797.1561999999994,2235.0604000000003,2341.3231020000003,474.5298373319486,433.7297961344931,423.18722106348173,427.6686777263404,437.798786596391,377.6576606755809,521.7084820182316,0.1592099999998026,0.4588619999994989,0.1029799999996612,0.1305569999985891,0.00296999999955,0.0155360000007931,0.3861440000000584,385.60288257271424,368.3896716342465,372.8994374907011,360.8420739680789,356.5170016303731,324.50042237876266,457.9117108769954
6,214.4849119999999,197.05384799999956,183.05131100000017,213.11305399999947,194.20257000000038,187.10553450000043,184.58032700000058,466.67925000000105,416.67333600000165,394.2770840000012,429.79889,411.1310940000003,378.7014100000015,475.23855,825.4848154999991,733.7060664999999,716.073609,721.4770250000001,714.1363350000001,653.2544550000002,1019.1996200000012,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3169.30509,3161.56309,3184.471089999999,3353.9385700000003,2745.94557,2678.160969999999,2794.90928,577.4513695567961,527.586814991302,508.80845624951314,512.461578610152,494.399002646761,469.86452862391275,668.8232295949992,0.0042610000000422,0.0678100000004633,0.0874499999990803,0.0210000000006402,0.0780399999985093,0.6965900000013789,2.0557499999995343,471.7617276517902,439.9519940464446,432.754432005482,395.69994042463264,385.62742401157556,385.46116628976006,583.482734043826
7,191.0175465000002,170.34233499999937,175.4759009999998,199.57484999999997,199.3935249999995,161.09949549999965,192.32144449999942,396.15553999999975,381.0736300000008,382.2540000000008,425.7959410000003,432.7741699999988,353.37561000000096,490.5348799999993,681.152320000001,684.6646490000003,690.7897000000003,736.7661850000004,757.0060334999998,617.2942050000001,1086.3626399999994,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7679.0,3246.021930000001,3016.13093,3177.0052849999997,2913.20571,2428.1442850000003,2666.1657300000006,3072.130091000001,500.93575013293525,485.17062022744386,492.7977306475399,509.8997078462936,527.2170445857458,440.47023147111514,699.1450064387288,0.0215600000010454,0.0294049999993148,0.0240819999999075,0.334340000001248,0.1064499999993131,0.0179299999981594,4.670669999999518,428.99918848778776,419.9395741222135,426.8490190359737,400.2951021535108,414.12075589450717,373.0436551138371,618.1611717407126
