,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg
,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.618597568931167,1.6932463327039593,1.6653382894946291,1.9715902650643788,2.2346844160037764,1.4560047983058677,3.531369693314353,3.74613926771386,3.7004485543633456,4.255508767194733,4.732678448815666,3.3476974125186096,6.855752230034474,7.25585024729957,7.049984141285206,7.7528981812234115,8.304616422742964,6.351562586320178,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,36.30958223524062,38.68031922168153,32.765098472900675,56.31519009657144,58.15628715235349,39.685644443547176,4.835479673563305,5.13622306820164,5.090496761225016,5.671085128833456,6.066905586014132,4.622329804098187,0.0018608065223021,1.4599821104354386e-05,0.0009536730936222,0.0014734957662241,0.0001880586591724,0.0001416710624412,4.356105034057058,4.66721263038475,4.685585823071662,5.392120752818633,5.546316709497628,4.44466011662424
1,1.5722951069313003,1.5353449802181807,1.4948137699040585,1.8263814620597199,2.009926233233302,1.405290676620451,3.3575905444742293,3.4213932797151387,3.429561302881333,3.897479155948456,4.280597985974979,3.0707148305028165,6.483094494431782,6.72011274119296,6.654838940290011,6.983212084331518,7.5340224719281625,5.823382486181137,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,31.16617681332924,34.825668308066426,27.492758071737832,54.006453132583424,55.4394815781736,36.21522936877989,4.5547272691626235,4.727429090214905,4.7021349979373435,5.186862271589632,5.518753255206207,4.235699773817639,1.569708146344034e-05,0.002408727759975,0.0006921922198458,0.0025009449131011,0.0003043079963222,0.0003823587769743,4.02278697843526,4.300935736644755,4.321067368365672,4.955870003553767,5.0684855300145815,4.040900232365107
2,1.6011923371498695,1.4176728886684054,1.4231787338520743,1.6189600498369705,1.8205981505199476,1.2998421329174152,3.357662051757256,3.257230076760202,3.180620060565757,3.518710116234116,3.852262659084248,2.91574145375796,6.205388789986893,6.338254312959942,6.360771396000713,6.4700097902973805,6.9653015083736065,5.503078009011579,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,29.03672443035446,29.695591143839835,24.97386480879696,47.19743428226032,48.350416511262,32.50391335082108,4.40953890338011,4.439220814900893,4.448529509700452,4.7507272762767006,5.05771039507457,3.986857534287814,1.683288597971697e-05,0.0006508084715082,0.0003643086027934,1.5572963826359736e-05,0.0013371694500621,1.9959691157282598e-06,3.7709911198626203,4.021315473378633,4.074576659203628,4.551366242196244,4.640581242558816,3.7275199621930932
3,1.619354630357531,1.427996581039558,1.4009526416818319,1.6071321173519661,1.7802660392092802,1.3304435359626825,3.400237985281418,3.226251776344057,3.139944537454374,3.5037727925749085,3.815096671950263,2.9607666748998533,6.135744282488121,6.150629653074792,6.243710663312379,6.3550950554103025,6.9078398266104415,5.492322477712701,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,26.426863708265653,28.13045072130195,24.90530435943226,39.78302554216585,40.51181971845581,30.014901295419776,4.370257777417709,4.336082873259162,4.397953918108253,4.642242705603605,4.965110265398258,3.9661355920795462,0.0010110498077558,0.000477267562701,0.000268754666452,0.0005203020887273,0.0004234023925402,2.210059279248608e-05,3.6718234557707596,3.888227336847626,4.037098874274032,4.323237433803895,4.435440625750448,3.6293838544211297
4,1.6730713263056405,1.451510974171136,1.4451691713431558,1.5951159245169477,1.7655374385048592,1.3192279833657423,3.464770427615424,3.224451411114386,3.1244767379661664,3.4431754439736424,3.783206686182405,2.927696386729337,6.024403750258778,5.968533123617281,6.1732510379898,6.247946251030122,6.736330606950665,5.430761001447719,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,22.9700437056728,25.35979522249181,27.49119905662433,34.720877198152884,35.12001947545626,26.73150066153059,4.353260855167041,4.253623274406862,4.342005615811687,4.528888387463994,4.867026029120477,3.8987134762563893,0.0030509595937982,0.0003553620202265,0.0009554984648429,0.0002661160130711,0.0006185745005066,2.9023935992269547e-05,3.586208978810575,3.7449469950994825,3.9621929551004613,4.093913789553082,4.238813503298023,3.505388150802858
5,1.817729666675807,1.5358918160664214,1.399145279670969,1.5146535183279402,1.5728987756452333,1.2907693213500988,3.769251130403725,3.2326926856833684,3.0690763911951757,3.2795393275351983,3.3876232969541524,2.815098326820695,6.375821221062058,5.9771673716701,5.782035284023798,5.824193109201644,5.984748456908859,5.18193864816699,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,23.79929936290089,26.754315516069376,30.936752455730943,26.957151703150533,27.17651974081995,22.805286064255405,4.5141828986419466,4.1691476310643365,4.100407271982004,4.17958066517545,4.324870504890275,3.651627857791451,0.0014401390101285,0.004829989191214,0.0012079079587514,0.0014193001446846,2.59349912962305e-05,0.0001757614016363,3.516976079557502,3.494954952664068,3.6426711496932973,3.5886782996530187,3.671966651436252,3.1452349883966924
6,2.026966356041501,1.8779731784873366,1.7354871757381063,1.969803201614667,1.7792174878760325,1.754386534990275,4.369397958307819,3.917259722732615,3.673657654882644,4.030793046512381,3.833415625342869,3.535038819406107,7.489185662961697,6.793569760688468,6.632381786481036,6.714118903873606,6.542651800190711,5.994068978499975,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,27.41872567049011,29.63491058661661,34.44417034152386,25.270433456607662,25.387171054833274,26.07535482101148,5.199699461354523,4.785155519417246,4.641329434545822,4.72192071879807,4.589668834576967,4.274068753945513,4.869018856876047e-05,0.0006999982416992,0.0007818057102229,0.0002060813426674,0.0007128590930719,0.0057948725059158,4.000523283625249,3.814050456409884,3.8535440294321854,3.546244584905022,3.59308475379669,3.3625072213026823
