,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.9257617920795793,2.2947110942262334,1.8308840534651751,2.061898854544378,2.1964820147210613,1.9066339149262779,1.7029134670481685,4.146478616468522,4.721525572190647,4.042131787925195,4.569788497454231,4.732786904411992,4.162952940639589,3.588968008991801,7.254889267188487,7.878471412482394,7.162135742866528,7.786214158080195,8.192635458845352,7.081164739357213,6.829464307302727,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,36.27905772468558,38.824552201410405,38.58846564863518,38.491326294517975,41.6977534361391,37.79828221790628,34.72267979136423,5.16184429602099,5.6203345677667595,5.0520824662352535,5.60665219203087,5.906650394031248,5.072540190266845,4.893535289398327,0.0001727685537606,0.0006375699052303,0.0014236497650389,0.0002313256608152,0.0007071316251548,0.0007645138922148,0.0566754174143202,4.349168904606127,4.51838237004389,4.389375627075394,4.770184820369272,4.951501732866849,4.260925945116584,4.465645996719103
1,1.9159195759839527,2.2820667577806617,1.8353694451096825,2.0736302045930834,2.1415791009666365,1.9730088315618604,1.37791766157893,4.088302060337698,4.677135421401251,3.949565138097012,4.414855058739634,4.493756041083984,4.05584358357913,3.609346484761637,7.150256503218253,7.670738833561827,6.821401650731207,7.5057405606203815,7.866226993470888,6.898033340188187,6.542104164196585,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,41.74541634319989,37.77736833365849,35.90209941121329,38.38902766708733,39.12657301924556,35.208756265489896,34.632954989709965,5.016498516757241,5.479452145203908,4.879657244784367,5.414723250206694,5.6428083359267065,4.934692823988563,4.673653805099304,0.0015447618073595,0.0024384890478644,0.0004638601933188,0.0028118115671913,0.0005936223051905,0.0007532599183289,0.0024591796498109,4.11287382900311,4.303482882561941,4.142802494229437,4.553679789989822,4.726775018135302,4.023645321011736,4.378638762186577
2,1.959409705110751,2.2888064407299344,1.8693776651739775,2.0616326322006655,2.095813373179652,1.9816464834837972,1.3254191966957232,4.075991169267184,4.624838632378241,3.927163215057033,4.3563296895651655,4.477541162289519,4.1000191635797645,3.319384559446469,7.147920236137896,7.623946740927671,6.7368275046859205,7.346602236645486,7.602059165442816,6.880743073238051,6.450797794331835,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,45.07644003460137,35.53632973631769,33.26391716015599,46.0675562209383,35.04988447359748,31.442792321255,32.68621221154117,4.942010125145737,5.415077587151244,4.787369705688377,5.295169931189982,5.463609012208493,4.86971492272724,4.433145547921318,0.0005647851348252,0.0004035051902414,0.0005654161938503,0.0008891054729436,0.0016051834347371,0.0004075425224193,0.0010375688887884,3.9002989455604617,4.134015743876237,3.9309440107486764,4.397388919066857,4.532075482978383,3.8366641817409026,4.268728442469005
3,1.9430281821740778,2.3708640452372887,1.8593314251902497,1.99153329129165,2.0136976592104654,1.975728690938036,1.3734093420475348,4.120355886911462,4.77629047112129,3.935650386190169,4.425171414315023,4.463110434705908,4.187263495817088,2.9615320013627557,7.225790733381764,7.725326542798118,6.84575842218492,7.370100740434683,7.524899629986054,6.917198640935929,6.267234406679785,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,46.19342598282152,34.67263243933269,30.48510029909354,49.49330592122879,33.03388435741075,30.185073071669844,31.214717356313127,4.913162405888495,5.495823150905113,4.781971368598837,5.291149928818358,5.441306977471695,4.893872399905712,4.3348619358921425,0.0010315236459638,0.0023423637493269,0.000170272214187,0.0005496842312246,0.0023637003092306,0.0001215779454093,0.0138680893388685,3.7889474769565568,4.107267096963733,3.8621396871250098,4.382746930470899,4.507378830331584,3.796419159913949,4.195037605685893
4,1.9538081277073553,2.395017188485019,1.869396405410219,1.9718291141383273,2.0090065319620343,1.9743180531842741,1.3865498707550625,4.118867437550169,4.842163891401617,3.919823824899139,4.398597860854287,4.48003653857872,4.162318421530467,3.2047496363482706,7.14512359143443,7.736958283683661,6.834320972316784,7.339811822607071,7.400314887714572,6.923125593331887,5.675826600478677,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,43.6751428759989,32.939125870293154,27.935046025190868,45.24759563872722,30.83235531272308,28.21906633636644,29.19895379211464,4.883730631375036,5.481101451664177,4.739781334582286,5.206549728673354,5.332152697271517,4.823320363382585,4.38873506280135,9.176078098886984e-05,0.0001603214824684,0.0017759212619206,0.0003608775585124,0.0007764672285296,0.0021049107929119,0.0152867038825878,3.7199135366558287,4.005326842252186,3.742593526832842,4.210046095698687,4.346526963340237,3.660004121107471,4.221743177581877
5,1.893110475978899,2.186086605861001,1.8544038597777661,1.94859486386992,1.8644768610808091,1.7691597659636464,1.6486036643501554,4.154095642180289,4.440717802144335,3.936123465016443,4.251553655522828,4.259953433665255,3.952329747287185,3.835470928512537,7.551503416103968,7.485326458165446,7.160525979645382,7.257680748098905,7.045964051518356,6.9107634679661025,7.604291585807016,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,35.35760688351644,29.93787873660564,28.30413850398184,35.697833857901465,29.635559101956904,26.96062609877344,25.7772373618982,5.140180486383106,5.216125355231385,4.804920075575426,4.977822426410379,4.9384987677993,4.652050830174803,5.110053077670242,0.0003220985988202,0.0008638702761415,0.0034731648595326,0.0008013294603176,0.0008755160607919,4.721325190657121e-05,0.0039253390497708,4.0393331076815056,3.889629311879434,3.693978643428583,3.809846197735848,3.8771727369702766,3.5329155287716256,4.596895838816726
6,2.5050516390130766,2.374964166563041,2.235115378486012,2.1050504365862848,2.0513164183444497,2.097129722435985,1.821189737537238,5.3076038755279225,4.959782025987578,4.758836381562024,4.663203100774482,4.5514694385833465,4.471744683814649,4.366105138243758,9.101053232104448,8.417578280509833,8.311825711635866,7.892902688779413,7.522879011227933,7.782366237176026,9.726255336805105,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,26.36969029323085,29.450719407943204,28.74222561953841,30.77185348911104,30.7624378128999,27.241125465164533,25.52204942738369,6.272339124404851,5.86759636886937,5.613746214022035,5.4176137190135805,5.276848498068208,5.331212884324712,6.265027704604758,0.0009193353482946,0.002696234251801,0.0036816409201635,1.4096750509758812e-05,0.0015026478585453,0.0004067078451897,0.0176190087656617,4.722638619696272,4.446049362874574,4.13768290270967,4.07484200794925,4.017079688638156,4.038129950904847,5.524140427646668
7,2.341735216029808,2.2930569165566665,2.01182693986833,2.0094007096305155,2.031611717864759,1.878669379012849,1.8494027324343612,4.795655099034081,4.981013569151289,4.365488325985652,4.326226737371526,4.398509088428343,4.2498698632806615,4.605520948210516,8.226824282026218,8.550990505426599,7.584801855789516,7.6842717172860535,7.616196158983124,7.407198647688098,10.147849004726382,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,29.018639402771573,29.5290793839595,28.323104275006543,31.05115815249508,32.54395415584613,27.37810511570079,26.140098717599383,5.756258722417536,5.9356940401427565,5.196670963413061,5.305163681806649,5.356443192054159,5.112651414686231,6.420361999699368,0.0008344829321229,0.0003090135232919,0.0008055631726204,0.0020150426289143,0.0013636057154356,0.0010691440834251,0.036830584247992,4.405205390529187,4.624604650945244,4.0186184358981265,4.170436217012938,4.284964085956408,4.020476062007491,5.706023763392306
