,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.6205047409824116,1.6908718994907013,1.666877622134892,1.9715902650643788,2.2382104976691872,1.4555577263480404,1.7029134670481685,3.531369693314353,3.745184666980125,3.699542244408041,4.253763659212947,4.740800347358078,3.3454903124454054,3.588968008991801,6.866794780469775,7.25585024729957,7.046552665648649,7.775633092126287,8.314564234050193,6.3567202342723785,6.829464307302727,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,36.30958223524062,38.68031922168153,32.765098472900675,56.31519009657144,58.15628715235349,39.685644443547176,34.72267979136423,4.840142519743932,5.1375711595321345,5.093000618457456,5.675721612220226,6.075455614744567,4.625594215039796,4.893535289398327,0.0018608065223021,1.4599821104354386e-05,0.0009536730936222,0.0014734957662241,0.0001880586591724,0.0001416710624412,0.0566754174143202,4.360103215963568,4.671171186995957,4.689604081979976,5.398240469675273,5.550707628109643,4.449766730102571,4.465645996719103
1,1.5725371775748291,1.5351590434816178,1.4926330582253642,1.830852169030094,2.0173697256067067,1.4037686913192546,1.37791766157893,3.3603343527304577,3.415726040100368,3.429561302881333,3.897284578753247,4.288733046421238,3.0707148305028165,3.609346484761637,6.4937547838908785,6.721900220657409,6.654838940290011,6.997398044486413,7.538859291714714,5.8332834549032775,6.542104164196585,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,31.16617681332924,34.825668308066426,27.492758071737832,54.006453132583424,55.4394815781736,36.21522936877989,34.632954989709965,4.5596274714525205,4.7287213133549,4.703675434334671,5.190780019108388,5.526476039417493,4.238964841457152,4.673653805099304,1.569708146344034e-05,0.002408727759975,0.0006921922198458,0.0025009449131011,0.0003043079963222,0.0003823587769743,0.0024591796498109,4.026512613923444,4.304854081863061,4.325014923671362,4.961018970892911,5.071835568790766,4.045439566177064,4.378638762186577
2,1.6028704377612355,1.4164075264044365,1.4213256545423092,1.6194702742633456,1.8254312321067034,1.2990513976385643,1.3254191966957232,3.358393084192876,3.2485715082617106,3.1785718608453752,3.518710116234116,3.856830379248899,2.9152073276669457,3.319384559446469,6.215377463611283,6.339363203611655,6.362345882259417,6.471432784528696,6.969938066201772,5.5111884318271755,6.450797794331835,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,29.03672443035446,29.695591143839835,24.97386480879696,47.19743428226032,48.350416511262,32.50391335082108,32.68621221154117,4.414434858866595,4.440254507979504,4.448380158836648,4.754060502803474,5.063649635416007,3.9894996897621673,4.433145547921318,1.683288597971697e-05,0.0006508084715082,0.0003643086027934,1.5572963826359736e-05,0.0013371694500621,1.9959691157282598e-06,0.0010375688887884,3.7745752513086117,4.025468279467917,4.078848493920006,4.55563594284412,4.643232252499365,3.731894719931127,4.268728442469005
3,1.6173277598243487,1.427107640733385,1.3957947307081335,1.6045966990078475,1.786000815152936,1.3281578262130924,1.3734093420475348,3.402515895852898,3.21979468261686,3.13088739156165,3.5025863870479235,3.820525053406276,2.958708639743131,2.9615320013627557,6.152837586394302,6.147864323858272,6.241453119960981,6.353272454156302,6.909767818424255,5.492322477712701,6.267234406679785,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,26.426863708265653,28.13045072130195,24.90530435943226,39.78302554216585,40.51181971845581,30.014901295419776,31.214717356313127,4.374272277882772,4.335846915231728,4.394324821833505,4.642643743451352,4.969376321877927,3.966410475913607,4.3348619358921425,0.0010110498077558,0.000477267562701,0.000268754666452,0.0005203020887273,0.0004234023925402,2.210059279248608e-05,0.0138680893388685,3.6755383876486434,3.892003836545277,4.040885683723782,4.327062283990643,4.436907770822418,3.6335940819913297,4.195037605685893
4,1.6730713263056405,1.451136592830648,1.4425692043890113,1.593486561230786,1.769667469946285,1.316756834916486,1.3865498707550625,3.4673363030095827,3.220959073159332,3.117837116367538,3.4359419796423736,3.783306553139029,2.925979543894058,3.2047496363482706,6.030848131780118,5.96682197006581,6.164190089623183,6.2457184756995066,6.73915271150664,5.430131142859251,5.675826600478677,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,22.9700437056728,25.35979522249181,27.49119905662433,34.720877198152884,35.12001947545626,26.73150066153059,29.19895379211464,4.358014767002136,4.2534359854681005,4.336775953316843,4.527674634628192,4.869516110028472,3.898226517058409,4.38873506280135,0.0030509595937982,0.0003553620202265,0.0009554984648429,0.0002661160130711,0.0006185745005066,2.9023935992269547e-05,0.0152867038825878,3.5892783964059785,3.748354930148106,3.9654693907446097,4.097200904308644,4.239886404710304,3.5090014891456893,4.221743177581877
5,1.8227523957645724,1.5367344657525142,1.395386169812697,1.5146535183279402,1.5719801756721137,1.2927716779183083,1.6486036643501554,3.7771735851446415,3.2340270664694226,3.067775366400817,3.285026819300221,3.3878837520247425,2.8211531353517785,3.835470928512537,6.380763908192712,5.989496899570103,5.791981706898303,5.830213286544012,5.984748456908859,5.187448138827463,7.604291585807016,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,23.79929936290089,26.754315516069376,30.936752455730943,26.957151703150533,27.17651974081995,22.805286064255405,25.7772373618982,4.521268161154372,4.174791129133815,4.103205182836886,4.184482691063458,4.326707790911513,3.6575570890836686,5.110053077670242,0.0014401390101285,0.004829989191214,0.0012079079587514,0.0014193001446846,2.59349912962305e-05,0.0001757614016363,0.0039253390497708,3.519201595323812,3.4982042414246326,3.646659359143203,3.5916735396220774,3.674511040419788,3.1474172460348515,4.596895838816726
6,2.022586693214552,1.8813585025258082,1.7496583463131232,1.9756572861181252,1.7773817322471697,1.7554360394605646,1.821189737537238,4.3681073060566895,3.9218788391241,3.6887847560962266,4.04329952944419,3.826036755148736,3.5377508175307293,4.366105138243758,7.491338478859584,6.802692061557585,6.6461907643031,6.72059638009058,6.544272691879202,6.0053598764626654,9.726255336805105,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,27.41872567049011,29.63491058661661,34.44417034152386,25.270433456607662,25.387171054833274,26.07535482101148,25.52204942738369,5.201812071339487,4.792379911751521,4.651338428673071,4.7285732766855535,4.5891081574819985,4.2791512969675045,6.265027704604758,4.869018856876047e-05,0.0006999982416992,0.0007818057102229,0.0002060813426674,0.0007128590930719,0.0057948725059158,0.0176190087656617,4.00482162763241,3.816550018584336,3.854993663870287,3.548658690028914,3.5971403389900165,3.365786637090706,5.524140427646668
7,1.7451454885419964,1.544136770993707,1.5995882262339731,1.7831551839145932,1.778932037156276,1.4607330431928962,1.8494027324343612,3.614430875748606,3.491967145168769,3.4762994813366754,3.8546810488962855,3.842551227711744,3.218862341055811,4.605520948210516,6.213418417569482,6.162983080029874,6.253691761674686,6.771942466581348,6.9449234688693835,5.60641755016853,10.147849004726382,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,7679.0,30.65207736802076,32.162660126740086,37.29941637493652,24.53511966688194,28.5074642879096,29.119914520164503,26.140098717599383,4.489346890780301,4.384620990202662,4.474513413356446,4.688144864072599,4.850603207012687,4.020252939335218,6.420361999699368,0.0001796943629675,0.0003245477309609,0.0002452381387462,0.0026224802644731,0.0010536085794373,0.0001447974525881,0.036830584247992,3.722236744166516,3.7614140922256154,3.9118818760506326,3.758134095654791,3.973654214823161,3.4188595545657283,5.706023763392306
