datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10468.134,10551.37879,10344.729,10322.58947,10336.859,10207.63221,10431.537,10228.66728,10615.17,10493.93739,10872.388,11240.9854,11151.99,12139.22309,11405.889,12378.72625,11622.027,12362.24688,11797.462,12408.83545,11919.221,12473.09419,11979.498,12355.20816,12006.236,12162.69602,12041.845,11941.24273,12076.12,11748.96342,12092.146,11596.7368,12090.573,11569.66575,12051.815,11774.12969,11967.208,12041.30795,11815.565,12022.65577,11592.465,11819.23186,11298.591,11426.65281,10965.832,10709.78828,10641.322,10059.08486
2018-02-13 01:00:00,10512.507,10322.58947,10448.25,10207.63221,10497.386,10228.66728,10630.017,10493.93739,10832.427,11240.9854,11082.873,12139.22309,11334.147,12378.72625,11543.913,12362.24688,11710.061,12408.83545,11837.166,12473.09419,11912.104,12355.20816,11935.535,12162.69602,11944.275,11941.24273,11976.016,11748.96342,12011.9,11596.7368,12028.4795,11569.66575,12022.659,11774.12969,11972.883,12041.30795,11870.257,12022.65577,11699.551,11819.23186,11466.872,11426.65281,11185.33,10709.78828,10882.053,10059.08486,10596.349,9640.141202
2018-02-13 02:00:00,10324.652,10207.63221,10441.858,10228.66728,10665.716,10493.93739,10933.31,11240.9854,11212.875,12139.22309,11467.138,12378.72625,11664.207,12362.24688,11785.712,12408.83545,11845.102,12473.09419,11870.04,12355.20816,11881.742,12162.69602,11901.496,11941.24273,11941.566,11748.96342,11994.624,11596.7368,12023.497,11569.66575,11997.27,11774.12969,11910.65,12041.30795,11751.235,12022.65577,11525.508,11819.23186,11248.291,11426.65281,10952.779,10709.78828,10664.743,10059.08486,10408.008,9640.141202,10230.396,9373.396517
2018-02-13 03:00:00,10957.54,10228.66728,11214.14,10493.93739,11502.538,11240.9854,11757.298,12139.22309,11974.642,12378.72625,12153.413,12362.24688,12288.677,12408.83545,12358.808,12473.09419,12385.101,12355.20816,12384.583,12162.69602,12359.133,11941.24273,12312.074,11748.96342,12252.248,11596.7368,12179.495,11569.66575,12085.027,11774.12969,11961.65,12041.30795,11815.805,12022.65577,11638.151,11819.23186,11412.887,11426.65281,11151.291,10709.78828,10910.489,10059.08486,10736.51,9640.141202,10647.493,9373.396517,10656.062,9246.693164
2018-02-13 04:00:00,11218.415,10493.93739,11548.33,11240.9854,11860.726,12139.22309,12097.396,12378.72625,12258.722,12362.24688,12363.29,12408.83545,12432.921,12473.09419,12449.882,12355.20816,12423.224,12162.69602,12370.23,11941.24273,12316.057,11748.96342,12271.662,11596.7368,12221.875,11569.66575,12138.597,11774.12969,12014.683,12041.30795,11851.281,12022.65577,11654.684,11819.23186,11425.975,11426.65281,11165.784,10709.78828,10906.888,10059.08486,10712.478,9640.141202,10625.275,9373.396517,10653.329,9246.693164,10791.641,9233.149494
2018-02-13 05:00:00,11806.68,11240.9854,12104.691,12139.22309,12335.339,12378.72625,12486.585,12362.24688,12575.88,12408.83545,12626.635,12473.09419,12658.842,12355.20816,12636.056,12162.69602,12555.387,11941.24273,12438.685,11748.96342,12314.639,11596.7368,12191.703,11569.66575,12063.013,11774.12969,11923.724,12041.30795,11782.629,12022.65577,11629.22,11819.23186,11450.287,11426.65281,11260.333,10709.78828,11080.702,10059.08486,10942.834,9640.141202,10885.38,9373.396517,10928.55,9246.693164,11075.956,9233.149494,11302.797,9436.646968
2018-02-13 06:00:00,11907.312,12139.22309,12182.189,12378.72625,12385.01,12362.24688,12512.325,12408.83545,12584.415,12473.09419,12628.174,12355.20816,12663.848,12162.69602,12646.318,11941.24273,12565.021,11748.96342,12439.813,11596.7368,12299.011,11569.66575,12155.6,11774.12969,12010.956,12041.30795,11864.129,12022.65577,11724.8,11819.23186,11580.412,11426.65281,11414.22,10709.78828,11243.287,10059.08486,11091.952,9640.141202,10986.781,9373.396517,10958.654,9246.693164,11024.264,9233.149494,11183.988,9436.646968,11408.735,10065.82654
2018-02-13 07:00:00,11866.967,12378.72625,12027.338,12362.24688,12119.637,12408.83545,12153.692,12473.09419,12158.178,12355.20816,12165.767,12162.69602,12187.217,11941.24273,12171.017,11748.96342,12101.951,11596.7368,11996.58,11569.66575,11869.406,11774.12969,11732.336,12041.30795,11601.173,12022.65577,11483.909,11819.23186,11388.075,11426.65281,11303.381,10709.78828,11211.423,10059.08486,11123.9375,9640.141202,11064.166,9373.396517,11048.528,9246.693164,11083.702,9233.149494,11171.293,9436.646968,11304.026,10065.82654,11455.756,10811.20575
2018-02-13 08:00:00,11956.463,12362.24688,12066.098,12408.83545,12099.654,12473.09419,12090.266,12355.20816,12070.633,12162.69602,12072.005,11941.24273,12100.688,11748.96342,12108.32,11596.7368,12067.07,11569.66575,11976.979,11774.12969,11832.437,12041.30795,11644.187,12022.65577,11436.645,11819.23186,11237.328,11426.65281,11063.328,10709.78828,10913.526,10059.08486,10781.003,9640.141202,10703.993,9373.396517,10718.15,9246.693164,10833.235,9233.149494,11014.329,9436.646968,11221.706,10065.82654,11419.039,10811.20575,11582.217,10862.27064
2018-02-13 09:00:00,11999.634,12408.83545,12110.824,12473.09419,12146.191,12355.20816,12140.062,12162.69602,12124.344,11941.24273,12128.899,11748.96342,12158.569,11596.7368,12161.803,11569.66575,12110.988,11774.12969,12009.939,12041.30795,11857.555,12022.65577,11667.045,11819.23186,11463.667,11426.65281,11272.896,10709.78828,11110.082,10059.08486,10970.446,9640.141202,10843.77,9373.396517,10767.388,9246.693164,10778.662,9233.149494,10887.297,9436.646968,11060.892,10065.82654,11261.695,10811.20575,11455.374,10862.27064,11617.48,10757.91424
