datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10896.073,10551.37879,10704.319,10322.58947,10691.821,10207.63221,10869.052,10228.66728,11194.64,10493.93739,11589.193,11240.9854,11978.733,12139.22309,12268.427,12378.72625,12417.634,12362.24688,12417.912,12408.83545,12298.723,12473.09419,12094.318,12355.20816,11857.483,12162.69602,11632.912,11941.24273,11445.109,11748.96342,11344.0625,11596.7368,11313.195,11569.66575,11332.359,11774.12969,11336.531,12041.30795,11226.714,12022.65577,11012.07,11819.23186,10707.455,11426.65281,10323.48,10709.78828,9923.946,10059.08486
2018-02-13 01:00:00,10699.197,10322.58947,10624.355,10207.63221,10767.001,10228.66728,11152.079,10493.93739,11658.683,11240.9854,12059.545,12139.22309,12269.057,12378.72625,12371.326,12362.24688,12352.453,12408.83545,12230.612,12473.09419,12069.876,12355.20816,11894.471,12162.69602,11707.228,11941.24273,11555.519,11748.96342,11427.768,11596.7368,11345.171,11569.66575,11277.349,11774.12969,11148.369,12041.30795,10911.71,12022.65577,10551.149,11819.23186,10052.553,11426.65281,9474.281,10709.78828,8920.384,10059.08486,8475.148,9640.141202
2018-02-13 02:00:00,10636.6875,10207.63221,10750.453,10228.66728,11057.701,10493.93739,11501.457,11240.9854,11954.454,12139.22309,12247.972,12378.72625,12382.046,12362.24688,12413.489,12408.83545,12318.323,12473.09419,12097.725,12355.20816,11845.066,12162.69602,11633.229,11941.24273,11452.3125,11748.96342,11320.9375,11596.7368,11256.121,11569.66575,11248.26,11774.12969,11217.076,12041.30795,11080.416,12022.65577,10843.28,11819.23186,10516.452,11426.65281,10069.228,10709.78828,9571.084,10059.08486,9136.602,9640.141202,8831.203,9373.396517
2018-02-13 03:00:00,10833.653,10228.66728,11258.941,10493.93739,11785.648,11240.9854,12191.542,12139.22309,12369.154,12378.72625,12418.455,12362.24688,12385.203,12408.83545,12272.787,12473.09419,12110.17,12355.20816,11925.55,12162.69602,11741.291,11941.24273,11608.753,11748.96342,11504.598,11596.7368,11427.359,11569.66575,11359.16,11774.12969,11235.188,12041.30795,11026.209,12022.65577,10704.963,11819.23186,10264.117,11426.65281,9769.652,10709.78828,9337.468,10059.08486,9023.227,9640.141202,8846.737,9373.396517,8813.156,9246.693164
2018-02-13 04:00:00,11150.447,10493.93739,11611.243,11240.9854,12056.294,12139.22309,12328.64,12378.72625,12429.123,12362.24688,12442.068,12408.83545,12352.707,12473.09419,12131.931,12355.20816,11871.192,12162.69602,11643.647,11941.24273,11462.923,11748.96342,11343.161,11596.7368,11288.146,11569.66575,11280.923,11774.12969,11244.251,12041.30795,11102.398,12022.65577,10881.838,11819.23186,10575.539,11426.65281,10157.88,10709.78828,9712.867,10059.08486,9357.674,9640.141202,9106.88,9373.396517,8983.43,9246.693164,9064.085,9233.149494
2018-02-13 05:00:00,11848.947,11240.9854,12233.828,12139.22309,12406.008,12378.72625,12452.511,12362.24688,12401.694,12408.83545,12260.487,12473.09419,12073.671,12355.20816,11876.199,12162.69602,11664.189,11941.24273,11518.061,11748.96342,11417.258,11596.7368,11358.308,11569.66575,11306.483,11774.12969,11195.383,12041.30795,10996.381,12022.65577,10682.371,11819.23186,10263.0,11426.65281,9784.324,10709.78828,9359.743,10059.08486,9038.941,9640.141202,8870.871,9373.396517,8829.984,9246.693164,8956.818,9233.149494,9327.049,9436.646968
2018-02-13 06:00:00,12302.296,12139.22309,12557.364,12378.72625,12605.306,12362.24688,12532.598,12408.83545,12364.552,12473.09419,12107.936,12355.20816,11800.922,12162.69602,11499.81,11941.24273,11258.72,11748.96342,11159.207,11596.7368,11159.909,11569.66575,11181.829,11774.12969,11164.327,12041.30795,11062.362,12022.65577,10890.24,11819.23186,10606.019,11426.65281,10214.265,10709.78828,9795.219,10059.08486,9452.405,9640.141202,9198.669,9373.396517,9094.685,9246.693164,9196.4795,9233.149494,9487.8545,9436.646968,9926.703,10065.82654
2018-02-13 07:00:00,12656.659,12378.72625,12630.242,12362.24688,12499.574,12408.83545,12270.881,12473.09419,11990.258,12355.20816,11724.13,12162.69602,11508.633,11941.24273,11395.386,11748.96342,11325.901,11596.7368,11270.29,11569.66575,11237.0205,11774.12969,11169.519,12041.30795,11005.816,12022.65577,10721.73,11819.23186,10329.238,11426.65281,9881.186,10709.78828,9479.424,10059.08486,9173.988,9640.141202,9003.273,9373.396517,8978.551,9246.693164,9151.639,9233.149494,9584.496,9436.646968,10169.08,10065.82654,10689.508,10811.20575
2018-02-13 08:00:00,12792.453,12362.24688,12687.568,12408.83545,12468.125,12473.09419,12145.254,12355.20816,11802.272,12162.69602,11504.205,11941.24273,11285.57,11748.96342,11174.829,11596.7368,11154.662,11569.66575,11173.565,11774.12969,11178.843,12041.30795,11095.673,12022.65577,10923.982,11819.23186,10659.583,11426.65281,10290.816,10709.78828,9875.323,10059.08486,9524.0205,9640.141202,9277.421,9373.396517,9190.951,9246.693164,9302.522,9233.149494,9629.97,9436.646968,10135.004,10065.82654,10685.629,10811.20575,11079.865,10862.27064
2018-02-13 09:00:00,12626.564,12408.83545,12410.748,12473.09419,12139.891,12355.20816,11863.94,12162.69602,11624.865,11941.24273,11466.125,11748.96342,11370.272,11596.7368,11306.32,11569.66575,11259.852,11774.12969,11160.885,12041.30795,10974.278,12022.65577,10685.366,11819.23186,10291.297,11426.65281,9846.442,10709.78828,9458.077,10059.08486,9160.297,9640.141202,9001.055,9373.396517,8981.72,9246.693164,9164.236,9233.149494,9595.357,9436.646968,10203.465,10065.82654,10774.981,10811.20575,11122.891,10862.27064,11285.234,10757.91424
