datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10855.477,10551.37879,10688.354,10322.58947,10677.832,10207.63221,10827.405,10228.66728,11129.401,10493.93739,11500.357,11240.9854,11832.574,12139.22309,12017.041,12378.72625,12027.455,12362.24688,11884.796,12408.83545,11626.227,12473.09419,11290.004,12355.20816,10942.858,12162.69602,10639.555,11941.24273,10434.229,11748.96342,10360.293,11596.7368,10380.83,11569.66575,10450.915,11774.12969,10530.088,12041.30795,10561.177,12022.65577,10524.943,11819.23186,10354.164,11426.65281,10045.481,10709.78828,9683.798,10059.08486
2018-02-13 01:00:00,10632.412,10322.58947,10589.227,10207.63221,10760.122,10228.66728,11142.489,10493.93739,11572.946,11240.9854,11868.983,12139.22309,11987.512,12378.72625,11976.84,12362.24688,11852.832,12408.83545,11613.337,12473.09419,11318.484,12355.20816,11024.006,12162.69602,10801.223,11941.24273,10678.129,11748.96342,10636.197,11596.7368,10659.365,11569.66575,10693.11,11774.12969,10708.085,12041.30795,10700.938,12022.65577,10586.454,11819.23186,10304.71,11426.65281,9887.356,10709.78828,9451.838,10059.08486,9073.25,9640.141202
2018-02-13 02:00:00,10517.482,10207.63221,10589.138,10228.66728,10858.335,10493.93739,11251.858,11240.9854,11628.916,12139.22309,11863.394,12378.72625,11925.01,12362.24688,11833.068,12408.83545,11579.821,12473.09419,11211.981,12355.20816,10849.352,12162.69602,10559.936,11941.24273,10365.856,11748.96342,10280.574,11596.7368,10275.116,11569.66575,10334.581,11774.12969,10407.272,12041.30795,10419.996,12022.65577,10370.635,11819.23186,10174.042,11426.65281,9811.908,10709.78828,9384.478,10059.08486,9000.076,9640.141202,8698.818,9373.396517
2018-02-13 03:00:00,10838.048,10228.66728,11218.673,10493.93739,11651.425,11240.9854,11940.769,12139.22309,12042.663,12378.72625,12020.668,12362.24688,11902.356,12408.83545,11676.006,12473.09419,11368.411,12355.20816,11079.462,12162.69602,10884.623,11941.24273,10789.135,11748.96342,10759.611,11596.7368,10781.612,11569.66575,10808.375,11774.12969,10832.632,12041.30795,10840.675,12022.65577,10740.193,11819.23186,10480.722,11426.65281,10105.766,10709.78828,9727.844,10059.08486,9422.027,9640.141202,9231.963,9373.396517,9164.27,9246.693164
2018-02-13 04:00:00,10880.612,10493.93739,11285.219,11240.9854,11663.693,12139.22309,11888.033,12378.72625,11944.61,12362.24688,11862.899,12408.83545,11631.757,12473.09419,11264.559,12355.20816,10867.214,12162.69602,10550.722,11941.24273,10347.327,11748.96342,10248.816,11596.7368,10223.065,11569.66575,10273.807,11774.12969,10349.061,12041.30795,10383.193,12022.65577,10341.119,11819.23186,10159.887,11426.65281,9829.235,10709.78828,9445.331,10059.08486,9113.021,9640.141202,8855.129,9373.396517,8709.007,9246.693164,8721.137,9233.149494
2018-02-13 05:00:00,11914.26,11240.9854,12144.557,12139.22309,12187.463,12378.72625,12099.019,12362.24688,11912.992,12408.83545,11628.253,12473.09419,11305.353,12355.20816,11001.635,12162.69602,10783.836,11941.24273,10705.205,11748.96342,10686.9,11596.7368,10686.264,11569.66575,10703.007,11774.12969,10763.359,12041.30795,10835.841,12022.65577,10780.386,11819.23186,10540.259,11426.65281,10182.868,10709.78828,9833.658,10059.08486,9531.993,9640.141202,9357.225,9373.396517,9353.621,9246.693164,9505.734,9233.149494,9801.742,9436.646968
2018-02-13 06:00:00,11993.464,12139.22309,12156.309,12378.72625,12130.271,12362.24688,11919.909,12408.83545,11549.85,12473.09419,11097.117,12355.20816,10691.388,12162.69602,10391.69,11941.24273,10191.451,11748.96342,10106.719,11596.7368,10099.615,11569.66575,10175.68,11774.12969,10301.825,12041.30795,10391.454,12022.65577,10404.768,11819.23186,10265.483,11426.65281,9965.167,10709.78828,9588.918,10059.08486,9269.627,9640.141202,9029.471,9373.396517,8936.333,9246.693164,9026.049,9233.149494,9288.719,9436.646968,9669.892,10065.82654
2018-02-13 07:00:00,12353.764,12378.72625,12235.664,12362.24688,12016.366,12408.83545,11695.95,12473.09419,11321.6,12355.20816,10957.796,12162.69602,10723.214,11941.24273,10649.477,11748.96342,10652.359,11596.7368,10670.367,11569.66575,10675.577,11774.12969,10729.841,12041.30795,10807.432,12022.65577,10763.644,11819.23186,10528.398,11426.65281,10169.18,10709.78828,9817.463,10059.08486,9525.91,9640.141202,9363.028,9373.396517,9346.656,9246.693164,9512.462,9233.149494,9867.4375,9436.646968,10316.274,10065.82654,10684.487,10811.20575
2018-02-13 08:00:00,12193.815,12362.24688,11999.757,12408.83545,11648.669,12473.09419,11201.451,12355.20816,10771.892,12162.69602,10415.499,11941.24273,10186.995,11748.96342,10103.762,11596.7368,10122.3,11569.66575,10215.424,11774.12969,10330.33,12041.30795,10408.542,12022.65577,10409.695,11819.23186,10251.717,11426.65281,9938.963,10709.78828,9569.166,10059.08486,9254.75,9640.141202,9031.73,9373.396517,8944.238,9246.693164,9022.879,9233.149494,9287.594,9436.646968,9691.399,10065.82654,10136.924,10811.20575,10499.962,10862.27064
2018-02-13 09:00:00,12120.227,12408.83545,11806.625,12473.09419,11433.694,12355.20816,11066.859,12162.69602,10807.526,11941.24273,10680.037,11748.96342,10641.048,11596.7368,10647.652,11569.66575,10681.758,11774.12969,10755.597,12041.30795,10836.7705,12022.65577,10800.871,11819.23186,10577.99,11426.65281,10229.726,10709.78828,9887.105,10059.08486,9603.007,9640.141202,9448.141,9373.396517,9442.122,9246.693164,9600.0625,9233.149494,9950.522,9436.646968,10418.555,10065.82654,10827.926,10811.20575,11054.931,10862.27064,11114.007,10757.91424
