datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10657.051,10551.37879,10455.779,10322.58947,10435.663,10207.63221,10558.737,10228.66728,10820.13,10493.93739,11157.77,11240.9854,11415.207,12139.22309,11569.2,12378.72625,11640.299,12362.24688,11682.292,12408.83545,11699.637,12473.09419,11681.676,12355.20816,11652.206,12162.69602,11639.607,11941.24273,11633.616,11748.96342,11629.208,11596.7368,11623.317,11569.66575,11629.036,11774.12969,11632.252,12041.30795,11661.035,12022.65577,11647.839,11819.23186,11574.153,11426.65281,11424.847,10709.78828,11277.802,10059.08486
2018-02-13 01:00:00,11225.197,10322.58947,11289.971,10207.63221,11367.696,10228.66728,11454.357,10493.93739,11548.208,11240.9854,11646.375,12139.22309,11705.402,12378.72625,11775.981,12362.24688,11799.299,12408.83545,11815.552,12473.09419,11811.556,12355.20816,11799.555,12162.69602,11775.226,11941.24273,11787.671,11748.96342,11819.039,11596.7368,11843.48,11569.66575,11826.215,11774.12969,11786.688,12041.30795,11742.53,12022.65577,11675.51,11819.23186,11537.717,11426.65281,11369.605,10709.78828,11211.989,10059.08486,11129.3955,9640.141202
2018-02-13 02:00:00,11100.586,10207.63221,11230.523,10228.66728,11344.4375,10493.93739,11459.283,11240.9854,11562.629,12139.22309,11661.144,12378.72625,11707.028,12362.24688,11756.374,12408.83545,11777.093,12473.09419,11799.369,12355.20816,11808.5205,12162.69602,11814.908,11941.24273,11798.519,11748.96342,11805.822,11596.7368,11834.6,11569.66575,11846.309,11774.12969,11817.436,12041.30795,11761.851,12022.65577,11699.815,11819.23186,11586.643,11426.65281,11385.746,10709.78828,11153.788,10059.08486,10949.44,9640.141202,10849.896,9373.396517
2018-02-13 03:00:00,11126.101,10228.66728,11382.057,10493.93739,11536.719,11240.9854,11670.964,12139.22309,11767.036,12378.72625,11855.782,12362.24688,11944.448,12408.83545,12034.099,12473.09419,12068.367,12355.20816,12081.409,12162.69602,12030.625,11941.24273,11978.966,11748.96342,11937.309,11596.7368,11905.774,11569.66575,11896.427,11774.12969,11861.693,12041.30795,11781.811,12022.65577,11643.299,11819.23186,11485.225,11426.65281,11223.09,10709.78828,10903.456,10059.08486,10603.255,9640.141202,10412.145,9373.396517,10395.865,9246.693164
2018-02-13 04:00:00,11172.062,10493.93739,11448.941,11240.9854,11610.647,12139.22309,11749.075,12378.72625,11848.139,12362.24688,11925.462,12408.83545,11989.908,12473.09419,12043.3545,12355.20816,12065.104,12162.69602,12064.228,11941.24273,12008.491,11748.96342,11927.224,11596.7368,11884.182,11569.66575,11830.907,11774.12969,11771.257,12041.30795,11657.101,12022.65577,11462.399,11819.23186,11188.977,11426.65281,10907.78,10709.78828,10582.328,10059.08486,10310.188,9640.141202,10130.862,9373.396517,10103.942,9246.693164,10243.696,9233.149494
2018-02-13 05:00:00,11167.685,11240.9854,11454.11,12139.22309,11618.467,12378.72625,11758.017,12362.24688,11854.237,12408.83545,11921.304,12473.09419,11950.987,12355.20816,11961.814,12162.69602,11972.679,11941.24273,11969.713,11748.96342,11936.784,11596.7368,11863.452,11569.66575,11832.206,11774.12969,11770.948,12041.30795,11679.482,12022.65577,11499.53,11819.23186,11199.639,11426.65281,10808.405,10709.78828,10428.045,10059.08486,10068.383,9640.141202,9845.803,9373.396517,9767.647,9246.693164,9865.59,9233.149494,10115.286,9436.646968
2018-02-13 06:00:00,11217.741,12139.22309,11474.525,12378.72625,11616.956,12362.24688,11740.607,12408.83545,11817.239,12473.09419,11866.975,12355.20816,11856.581,12162.69602,11827.379,11941.24273,11822.368,11748.96342,11813.714,11596.7368,11811.185,11569.66575,11755.808,11774.12969,11733.707,12041.30795,11651.839,12022.65577,11511.921,11819.23186,11242.234,11426.65281,10812.3,10709.78828,10293.614,10059.08486,9820.385,9640.141202,9471.041,9373.396517,9348.119,9246.693164,9426.551,9233.149494,9678.37,9436.646968,10039.573,10065.82654
2018-02-13 07:00:00,11511.571,12378.72625,11625.11,12362.24688,11705.65,12408.83545,11812.534,12473.09419,11898.311,12355.20816,11940.642,12162.69602,11920.929,11941.24273,11879.913,11748.96342,11849.846,11596.7368,11811.214,11569.66575,11798.248,11774.12969,11720.592,12041.30795,11657.754,12022.65577,11494.663,11819.23186,11235.266,11426.65281,10834.569,10709.78828,10288.367,10059.08486,9731.169,9640.141202,9314.3,9373.396517,9184.494,9246.693164,9361.967,9233.149494,9754.382,9436.646968,10222.157,10065.82654,10657.756,10811.20575
2018-02-13 08:00:00,11615.399,12362.24688,11691.853,12408.83545,11745.347,12473.09419,11820.899,12355.20816,11888.654,12162.69602,11921.105,11941.24273,11892.997,11748.96342,11834.94,11596.7368,11811.775,11569.66575,11788.043,11774.12969,11782.322,12041.30795,11685.081,12022.65577,11565.346,11819.23186,11273.777,11426.65281,10857.9795,10709.78828,10334.352,10059.08486,9770.543,9640.141202,9329.733,9373.396517,9113.116,9246.693164,9210.987,9233.149494,9553.071,9436.646968,10068.038,10065.82654,10568.901,10811.20575,10957.724,10862.27064
2018-02-13 09:00:00,11740.876,12408.83545,11829.878,12473.09419,11908.712,12355.20816,11970.25,12162.69602,12021.062,11941.24273,12044.223,11748.96342,11994.309,11596.7368,11897.505,11569.66575,11845.26,11774.12969,11803.727,12041.30795,11787.881,12022.65577,11687.794,11819.23186,11528.72,11426.65281,11174.272,10709.78828,10703.172,10059.08486,10163.049,9640.141202,9677.644,9373.396517,9423.5205,9246.693164,9433.259,9233.149494,9722.408,9436.646968,10144.727,10065.82654,10656.32,10811.20575,11089.157,10862.27064,11361.866,10757.91424
