datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10637.413,10551.37879,10528.398,10322.58947,10524.511,10207.63221,10624.909,10228.66728,10845.943,10493.93739,11184.522,11240.9854,11563.753,12139.22309,11889.835,12378.72625,12142.0625,12362.24688,12327.373,12408.83545,12437.424,12473.09419,12444.301,12355.20816,12374.801,12162.69602,12285.792,11941.24273,12204.412,11748.96342,12135.959,11596.7368,12089.913,11569.66575,12066.567,11774.12969,12040.094,12041.30795,11973.727,12022.65577,11832.525,11819.23186,11591.042,11426.65281,11270.176,10709.78828,10954.539,10059.08486
2018-02-13 01:00:00,10725.23,10322.58947,10819.585,10207.63221,11038.821,10228.66728,11356.995,10493.93739,11744.243,11240.9854,12131.444,12139.22309,12410.041,12378.72625,12529.631,12362.24688,12538.087,12408.83545,12499.384,12473.09419,12431.619,12355.20816,12334.176,12162.69602,12238.644,11941.24273,12172.6455,11748.96342,12134.624,11596.7368,12103.005,11569.66575,12062.979,11774.12969,12000.428,12041.30795,11882.864,12022.65577,11686.422,11819.23186,11407.66,11426.65281,11072.66,10709.78828,10748.235,10059.08486,10526.797,9640.141202
2018-02-13 02:00:00,10396.294,10207.63221,10643.804,10228.66728,11041.575,10493.93739,11524.129,11240.9854,12022.769,12139.22309,12461.853,12378.72625,12752.488,12362.24688,12861.318,12408.83545,12843.21,12473.09419,12786.369,12355.20816,12733.123,12162.69602,12686.735,11941.24273,12653.786,11748.96342,12633.327,11596.7368,12596.898,11569.66575,12506.152,11774.12969,12350.639,12041.30795,12118.144,12022.65577,11781.162,11819.23186,11357.333,11426.65281,10892.711,10709.78828,10460.083,10059.08486,10137.869,9640.141202,9988.154,9373.396517
2018-02-13 03:00:00,10222.501,10228.66728,10630.286,10493.93739,11137.417,11240.9854,11668.359,12139.22309,12151.943,12378.72625,12541.049,12362.24688,12795.631,12408.83545,12897.207,12473.09419,12886.966,12355.20816,12847.797,12162.69602,12825.879,11941.24273,12810.768,11748.96342,12776.766,11596.7368,12708.135,11569.66575,12581.061,11774.12969,12370.101,12041.30795,12068.384,12022.65577,11668.984,11819.23186,11175.174,11426.65281,10648.915,10709.78828,10162.17,10059.08486,9804.503,9640.141202,9633.378,9373.396517,9662.138,9246.693164
2018-02-13 04:00:00,10587.051,10493.93739,11036.3955,11240.9854,11513.069,12139.22309,11949.209,12378.72625,12296.089,12362.24688,12542.65,12408.83545,12680.508,12473.09419,12698.447,12355.20816,12636.901,12162.69602,12579.203,11941.24273,12566.321,11748.96342,12565.867,11596.7368,12526.459,11569.66575,12429.325,11774.12969,12259.98,12041.30795,12004.507,12022.65577,11666.7,11819.23186,11243.36,11426.65281,10746.12,10709.78828,10250.115,10059.08486,9839.209,9640.141202,9600.709,9373.396517,9569.361,9246.693164,9734.203,9233.149494
2018-02-13 05:00:00,10862.672,11240.9854,11372.24,12139.22309,11848.992,12378.72625,12233.099,12362.24688,12491.586,12408.83545,12627.186,12473.09419,12657.977,12355.20816,12592.052,12162.69602,12472.602,11941.24273,12369.541,11748.96342,12315.186,11596.7368,12270.464,11569.66575,12175.298,11774.12969,12015.109,12041.30795,11784.98,12022.65577,11479.652,11819.23186,11105.748,11426.65281,10668.644,10709.78828,10192.972,10059.08486,9757.781,9640.141202,9443.292,9373.396517,9328.77,9246.693164,9431.636,9233.149494,9727.422,9436.646968
2018-02-13 06:00:00,11022.87,12139.22309,11589.624,12378.72625,12061.752,12362.24688,12395.712,12408.83545,12587.062,12473.09419,12652.147,12355.20816,12621.68,12162.69602,12527.303,11941.24273,12413.403,11748.96342,12313.873,11596.7368,12228.807,11569.66575,12104.796,11774.12969,11895.4,12041.30795,11605.363,12022.65577,11242.133,11819.23186,10815.207,11426.65281,10345.821,10709.78828,9867.225,10059.08486,9428.364,9640.141202,9103.213,9373.396517,8938.924,9246.693164,8989.877,9233.149494,9256.057,9436.646968,9694.227,10065.82654
2018-02-13 07:00:00,11702.483,12378.72625,12158.453,12362.24688,12472.729,12408.83545,12645.294,12473.09419,12717.527,12355.20816,12730.787,12162.69602,12689.856,11941.24273,12598.655,11748.96342,12496.612,11596.7368,12407.349,11569.66575,12298.246,11774.12969,12100.197,12041.30795,11788.866,12022.65577,11397.872,11819.23186,10960.484,11426.65281,10507.359,10709.78828,10068.822,10059.08486,9677.08,9640.141202,9384.811,9373.396517,9247.664,9246.693164,9277.781,9233.149494,9491.921,9436.646968,9865.529,10065.82654,10351.997,10811.20575
2018-02-13 08:00:00,12001.061,12362.24688,12333.843,12408.83545,12504.48,12473.09419,12534.119,12355.20816,12480.773,12162.69602,12421.49,11941.24273,12376.431,11748.96342,12318.622,11596.7368,12262.593,11569.66575,12221.341,11774.12969,12148.74,12041.30795,11968.608,12022.65577,11661.049,11819.23186,11265.885,11426.65281,10816.602,10709.78828,10351.169,10059.08486,9916.802,9640.141202,9559.093,9373.396517,9336.483,9246.693164,9299.073,9233.149494,9441.62,9436.646968,9757.605,10065.82654,10194.305,10811.20575,10689.219,10862.27064
2018-02-13 09:00:00,12142.443,12408.83545,12290.051,12473.09419,12321.615,12355.20816,12272.372,12162.69602,12192.81,11941.24273,12142.38,11748.96342,12137.651,11596.7368,12138.803,11569.66575,12136.055,11774.12969,12109.137,12041.30795,11991.772,12022.65577,11721.68,11819.23186,11325.554,11426.65281,10882.042,10709.78828,10444.857,10059.08486,10051.533,9640.141202,9748.227,9373.396517,9598.052,9246.693164,9650.367,9233.149494,9906.06,9436.646968,10287.355,10065.82654,10733.61,10811.20575,11177.647,10862.27064,11568.582,10757.91424
2018-02-13 10:00:00,11836.684,12473.09419,11859.968,12355.20816,11830.349,12162.69602,11781.555,11941.24273,11743.089,11748.96342,11743.702,11596.7368,11786.839,11569.66575,11824.34,11774.12969,11834.825,12041.30795,11778.816,12022.65577,11598.341,11819.23186,11254.897,11426.65281,10808.341,10709.78828,10352.609,10059.08486,9950.845,9640.141202,9643.2705,9373.396517,9482.6045,9246.693164,9535.202,9233.149494,9805.926,9436.646968,10247.048,10065.82654,10745.608,10811.20575,11217.382,10862.27064,11605.947,10757.91424,11880.626,10768.36054
2018-02-13 11:00:00,11865.076,12355.20816,11851.406,12162.69602,11836.902,11941.24273,11842.251,11748.96342,11871.739,11596.7368,11932.445,11569.66575,12005.956,11774.12969,12032.383,12041.30795,11989.811,12022.65577,11856.309,11819.23186,11602.221,11426.65281,11208.047,10709.78828,10742.532,10059.08486,10310.742,9640.141202,9977.175,9373.396517,9776.191,9246.693164,9766.734,9233.149494,9999.994,9436.646968,10418.706,10065.82654,10944.223,10811.20575,11475.3125,10862.27064,11929.158,10757.91424,12264.878,10768.36054,12476.868,10775.54392
2018-02-13 12:00:00,11958.966,12162.69602,11950.594,11941.24273,11954.566,11748.96342,11973.3125,11596.7368,12002.295,11569.66575,12052.165,11774.12969,12096.843,12041.30795,12067.657,12022.65577,11947.622,11819.23186,11739.623,11426.65281,11449.895,10709.78828,11068.068,10059.08486,10642.527,9640.141202,10268.493,9373.396517,10011.068,9246.693164,9899.978,9233.149494,9984.469,9436.646968,10294.883,10065.82654,10753.315,10811.20575,11287.047,10862.27064,11817.692,10757.91424,12269.432,10768.36054,12598.407,10775.54392,12805.812,10795.73353
2018-02-13 13:00:00,11676.071,11941.24273,11723.754,11748.96342,11794.768,11596.7368,11861.535,11569.66575,11904.368,11774.12969,11900.73,12041.30795,11809.79,12022.65577,11603.812,11819.23186,11297.453,11426.65281,10910.026,10709.78828,10500.511,10059.08486,10115.326,9640.141202,9818.591,9373.396517,9660.252,9246.693164,9679.249,9233.149494,9869.139,9436.646968,10206.1,10065.82654,10650.94,10811.20575,11110.34,10862.27064,11517.67,10757.91424,11828.402,10768.36054,12036.672,10775.54392,12155.721,10795.73353,12224.059,10773.13002
2018-02-13 14:00:00,11680.296,11748.96342,11764.7705,11596.7368,11880.686,11569.66575,11983.112,11774.12969,12042.735,12041.30795,12007.157,12022.65577,11817.395,11819.23186,11484.538,11426.65281,11079.28,10709.78828,10663.194,10059.08486,10305.896,9640.141202,10063.488,9373.396517,9984.475,9246.693164,10065.113,9233.149494,10302.427,9436.646968,10653.802,10065.82654,11052.082,10811.20575,11427.094,10862.27064,11701.199,10757.91424,11826.027,10768.36054,11803.096,10775.54392,11692.792,10795.73353,11568.162,10773.13002,11505.166,10852.78378
2018-02-13 15:00:00,11909.685,11596.7368,11979.4375,11569.66575,12070.734,11774.12969,12128.23,12041.30795,12123.168,12022.65577,12013.371,11819.23186,11750.057,11426.65281,11355.971,10709.78828,10915.221,10059.08486,10501.0625,9640.141202,10180.393,9373.396517,10008.984,9246.693164,10035.266,9233.149494,10235.581,9436.646968,10578.009,10065.82654,10996.61,10811.20575,11414.407,10862.27064,11769.342,10757.91424,12000.914,10768.36054,12070.925,10775.54392,11995.994,10795.73353,11855.8,10773.13002,11730.368,10852.78378,11680.098,10974.55664
2018-02-13 16:00:00,12254.616,11569.66575,12227.94,11774.12969,12169.08,12041.30795,12036.541,12022.65577,11800.251,11819.23186,11432.138,11426.65281,10953.047,10709.78828,10458.18,10059.08486,10053.662,9640.141202,9799.766,9373.396517,9726.741,9246.693164,9848.391,9233.149494,10162.011,9436.646968,10597.653,10065.82654,11075.908,10811.20575,11512.584,10862.27064,11840.1,10757.91424,12040.98,10768.36054,12120.616,10775.54392,12076.519,10795.73353,11935.004,10773.13002,11783.651,10852.78378,11698.252,10974.55664,11691.588,11098.30772
2018-02-13 17:00:00,12327.567,11774.12969,12238.752,12041.30795,12094.816,12022.65577,11865.679,11819.23186,11532.451,11426.65281,11091.935,10709.78828,10600.178,10059.08486,10157.43,9640.141202,9853.861,9373.396517,9726.319,9246.693164,9783.411,9233.149494,10009.824,9436.646968,10378.067,10065.82654,10816.736,10811.20575,11243.819,10862.27064,11590.541,10757.91424,11816.895,10768.36054,11930.169,10775.54392,11957.173,10795.73353,11909.875,10773.13002,11808.577,10852.78378,11716.293,10974.55664,11684.034,11098.30772,11699.203,11137.98887
2018-02-13 18:00:00,12169.883,12041.30795,11937.58,12022.65577,11602.612,11819.23186,11186.761,11426.65281,10720.004,10709.78828,10254.758,10059.08486,9897.428,9640.141202,9730.611,9373.396517,9767.563,9246.693164,9973.889,9233.149494,10323.453,9436.646968,10751.576,10065.82654,11161.781,10811.20575,11491.841,10862.27064,11704.15,10757.91424,11790.103,10768.36054,11774.538,10775.54392,11709.632,10795.73353,11640.621,10773.13002,11582.146,10852.78378,11532.488,10974.55664,11502.213,11098.30772,11495.596,11137.98887,11473.636,11065.42814
2018-02-13 19:00:00,11630.882,12022.65577,11344.01,11819.23186,10975.96,11426.65281,10574.56,10709.78828,10186.705,10059.08486,9859.582,9640.141202,9667.391,9373.396517,9662.942,9246.693164,9851.031,9233.149494,10190.784,9436.646968,10626.681,10065.82654,11068.907,10811.20575,11427.84,10862.27064,11668.094,10757.91424,11775.831,10768.36054,11760.852,10775.54392,11663.149,10795.73353,11554.992,10773.13002,11489.209,10852.78378,11466.545,10974.55664,11452.684,11098.30772,11425.86,11137.98887,11380.002,11065.42814,11288.445,11210.35598
2018-02-13 20:00:00,11385.496,11819.23186,11096.801,11426.65281,10747.577,10709.78828,10392.147,10059.08486,10084.309,9640.141202,9865.19,9373.396517,9780.215,9246.693164,9858.731,9233.149494,10093.124,9436.646968,10434.523,10065.82654,10829.384,10811.20575,11203.167,10862.27064,11484.763,10757.91424,11651.942,10768.36054,11710.314,10775.54392,11683.273,10795.73353,11605.387,10773.13002,11535.529,10852.78378,11510.314,10974.55664,11518.646,11098.30772,11521.719,11137.98887,11491.422,11065.42814,11423.8545,11210.35598,11303.847,11253.16716
2018-02-13 21:00:00,11022.152,11426.65281,10729.534,10709.78828,10416.013,10059.08486,10137.912,9640.141202,9946.633,9373.396517,9872.043,9246.693164,9927.204,9233.149494,10112.785,9436.646968,10406.044,10065.82654,10758.558,10811.20575,11120.361,10862.27064,11427.789,10757.91424,11636.484,10768.36054,11746.876,10775.54392,11780.125,10795.73353,11766.68,10773.13002,11732.756,10852.78378,11717.355,10974.55664,11733.047,11098.30772,11753.688,11137.98887,11739.021,11065.42814,11664.938,11210.35598,11541.865,11253.16716,11366.134,11047.47888
2018-02-13 22:00:00,10201.124,10709.78828,9985.908,10059.08486,9816.803,9640.141202,9728.232,9373.396517,9753.155,9246.693164,9916.258,9233.149494,10201.849,9436.646968,10561.983,10065.82654,10953.25,10811.20575,11335.3545,10862.27064,11663.357,10757.91424,11885.159,10768.36054,11999.449,10775.54392,12034.141,10795.73353,12000.242,10773.13002,11916.479,10852.78378,11816.05,10974.55664,11728.473,11098.30772,11639.818,11137.98887,11517.29,11065.42814,11341.774,11210.35598,11118.514,11253.16716,10876.531,11047.47888,10621.484,10686.77605
2018-02-13 23:00:00,9870.905,10059.08486,9734.393,9640.141202,9659.426,9373.396517,9666.39,9246.693164,9782.532,9233.149494,10039.336,9436.646968,10416.1455,10065.82654,10844.121,10811.20575,11265.801,10862.27064,11645.293,10757.91424,11949.646,10768.36054,12132.672,10775.54392,12199.379,10795.73353,12183.938,10773.13002,12095.218,10852.78378,11950.954,10974.55664,11793.524,11098.30772,11646.177,11137.98887,11479.503,11065.42814,11267.614,11210.35598,11011.948,11253.16716,10728.747,11047.47888,10448.999,10686.77605,10188.172,10131.80875
2018-02-14 00:00:00,9586.744,9640.141202,9483.271,9373.396517,9481.707,9246.693164,9591.709,9233.149494,9821.595,9436.646968,10172.628,10065.82654,10602.948,10811.20575,11048.15,10862.27064,11458.073,10757.91424,11802.055,10768.36054,12061.662,10775.54392,12214.387,10795.73353,12273.29,10773.13002,12263.33,10852.78378,12187.009,10974.55664,12054.605,11098.30772,11895.436,11137.98887,11723.1045,11065.42814,11509.34,11210.35598,11236.591,11253.16716,10908.923,11047.47888,10547.31,10686.77605,10193.987,10131.80875,9885.054,9503.903182
2018-02-14 01:00:00,9266.877,9373.396517,9263.165,9246.693164,9411.534,9233.149494,9691.8125,9436.646968,10071.564,10065.82654,10501.253,10811.20575,10919.509,10862.27064,11289.144,10757.91424,11590.883,10768.36054,11822.835,10775.54392,11992.406,10795.73353,12105.848,10773.13002,12183.048,10852.78378,12230.213,10974.55664,12227.875,11098.30772,12156.276,11137.98887,12015.546,11065.42814,11808.613,11210.35598,11513.705,11253.16716,11129.29,11047.47888,10672.448,10686.77605,10190.548,10131.80875,9756.639,9503.903182,9428.447,9023.281644
2018-02-14 02:00:00,8955.084,9246.693164,9183.261,9233.149494,9590.898,9436.646968,10104.274,10065.82654,10634.158,10811.20575,11107.795,10862.27064,11491.673,10757.91424,11774.833,10768.36054,11956.864,10775.54392,12063.994,10795.73353,12141.52,10773.13002,12214.427,10852.78378,12284.476,10974.55664,12329.586,11098.30772,12310.209,11137.98887,12192.04,11065.42814,11959.264,11210.35598,11607.131,11253.16716,11131.023,11047.47888,10578.089,10686.77605,10001.279,10131.80875,9487.818,9503.903182,9119.901,9023.281644,8927.688,8741.299351
2018-02-14 03:00:00,9008.779,9233.149494,9464.304,9436.646968,10052.099,10065.82654,10671.954,10811.20575,11223.592,10862.27064,11654.213,10757.91424,11964.636,10768.36054,12152.217,10775.54392,12226.484,10795.73353,12238.295,10773.13002,12253.141,10852.78378,12281.659,10974.55664,12295.372,11098.30772,12261.006,11137.98887,12144.386,11065.42814,11919.156,11210.35598,11569.057,11253.16716,11085.36,11047.47888,10483.129,10686.77605,9855.959,10131.80875,9286.316,9503.903182,8873.482,9023.281644,8678.839,8741.299351,8698.16,8597.099201
