datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10558.442,10551.37879,10354.194,10322.58947,10254.546,10207.63221,10302.448,10228.66728,10526.837,10493.93739,10926.829,11240.9854,11430.326,12139.22309,11897.601,12378.72625,12222.535,12362.24688,12383.763,12408.83545,12409.18,12473.09419,12336.861,12355.20816,12195.186,12162.69602,12039.294,11941.24273,11922.044,11748.96342,11852.817,11596.7368,11815.34,11569.66575,11821.408,11774.12969,11845.592,12041.30795,11836.443,12022.65577,11756.5205,11819.23186,11586.824,11426.65281,11325.16,10709.78828,11010.059,10059.08486
2018-02-13 01:00:00,10892.254,10322.58947,10888.669,10207.63221,11015.387,10228.66728,11266.994,10493.93739,11610.085,11240.9854,11993.476,12139.22309,12343.948,12378.72625,12571.97,12362.24688,12647.021,12408.83545,12600.358,12473.09419,12468.192,12355.20816,12291.244,12162.69602,12097.339,11941.24273,11937.455,11748.96342,11843.764,11596.7368,11808.059,11569.66575,11818.594,11774.12969,11859.531,12041.30795,11866.412,12022.65577,11777.072,11819.23186,11568.17,11426.65281,11289.211,10709.78828,11008.399,10059.08486,10772.151,9640.141202
2018-02-13 02:00:00,10855.949,10207.63221,11045.458,10228.66728,11316.892,10493.93739,11616.746,11240.9854,11894.239,12139.22309,12112.725,12378.72625,12237.939,12362.24688,12253.75,12408.83545,12189.84,12473.09419,12095.792,12355.20816,12005.061,12162.69602,11939.441,11941.24273,11906.358,11748.96342,11915.6,11596.7368,11951.199,11569.66575,11962.448,11774.12969,11913.802,12041.30795,11800.221,12022.65577,11603.749,11819.23186,11321.704,11426.65281,10979.338,10709.78828,10657.734,10059.08486,10438.33,9640.141202,10344.7,9373.396517
2018-02-13 03:00:00,10707.631,10228.66728,11061.707,10493.93739,11464.244,11240.9854,11829.292,12139.22309,12100.291,12378.72625,12260.217,12362.24688,12304.373,12408.83545,12250.924,12473.09419,12145.093,12355.20816,12031.397,12162.69602,11940.132,11941.24273,11889.448,11748.96342,11888.826,11596.7368,11932.911,11569.66575,11976.531,11774.12969,11950.807,12041.30795,11809.367,12022.65577,11559.143,11819.23186,11216.745,11426.65281,10816.742,10709.78828,10415.538,10059.08486,10098.639,9640.141202,9946.681,9373.396517,9970.625,9246.693164
2018-02-13 04:00:00,11223.77,10493.93739,11726.838,11240.9854,12211.208,12139.22309,12580.583,12378.72625,12792.245,12362.24688,12856.259,12408.83545,12802.645,12473.09419,12666.938,12355.20816,12490.85,12162.69602,12303.577,11941.24273,12127.807,11748.96342,11974.799,11596.7368,11859.548,11569.66575,11788.308,11774.12969,11734.61,12041.30795,11642.251,12022.65577,11447.846,11819.23186,11139.165,11426.65281,10747.489,10709.78828,10334.874,10059.08486,9980.166,9640.141202,9762.943,9373.396517,9751.438,9246.693164,9942.901,9233.149494
2018-02-13 05:00:00,11462.8,11240.9854,12021.096,12139.22309,12505.673,12378.72625,12819.311,12362.24688,12940.854,12408.83545,12904.263,12473.09419,12753.036,12355.20816,12527.017,12162.69602,12279.586,11941.24273,12045.923,11748.96342,11854.772,11596.7368,11712.598,11569.66575,11613.283,11774.12969,11532.437,12041.30795,11434.883,12022.65577,11267.461,11819.23186,10984.596,11426.65281,10608.045,10709.78828,10199.885,10059.08486,9820.872,9640.141202,9538.34,9373.396517,9417.073,9246.693164,9511.247,9233.149494,9812.09,9436.646968
2018-02-13 06:00:00,11610.671,12139.22309,12140.723,12378.72625,12550.899,12362.24688,12770.472,12408.83545,12806.768,12473.09419,12708.431,12355.20816,12523.256,12162.69602,12290.466,11941.24273,12060.89,11748.96342,11861.091,11596.7368,11708.864,11569.66575,11589.959,11774.12969,11474.888,12041.30795,11325.43,12022.65577,11117.914,11819.23186,10828.777,11426.65281,10444.152,10709.78828,10012.346,10059.08486,9614.12,9640.141202,9312.563,9373.396517,9163.184,9246.693164,9195.091,9233.149494,9423.015,9436.646968,9815.587,10065.82654
2018-02-13 07:00:00,11727.473,12378.72625,12152.567,12362.24688,12443.033,12408.83545,12574.453,12473.09419,12581.909,12355.20816,12508.813,12162.69602,12387.389,11941.24273,12239.064,11748.96342,12097.019,11596.7368,11976.147,11569.66575,11877.135,11774.12969,11766.034,12041.30795,11599.631,12022.65577,11341.062,11819.23186,10988.6045,11426.65281,10566.878,10709.78828,10109.218,10059.08486,9679.637,9640.141202,9349.83,9373.396517,9169.679,9246.693164,9174.059,9233.149494,9354.627,9436.646968,9683.84,10065.82654,10106.911,10811.20575
2018-02-13 08:00:00,12153.727,12362.24688,12380.265,12408.83545,12431.947,12473.09419,12347.952,12355.20816,12210.745,12162.69602,12087.453,11941.24273,12011.484,11748.96342,11969.966,11596.7368,11951.958,11569.66575,11942.736,11774.12969,11919.257,12041.30795,11829.262,12022.65577,11624.726,11819.23186,11279.81,11426.65281,10817.425,10709.78828,10306.442,10059.08486,9823.899,9640.141202,9446.757,9373.396517,9236.385,9246.693164,9224.702,9233.149494,9415.338,9436.646968,9760.452,10065.82654,10188.5625,10811.20575,10613.934,10862.27064
2018-02-13 09:00:00,12279.893,12408.83545,12461.414,12473.09419,12489.801,12355.20816,12403.838,12162.69602,12268.483,11941.24273,12148.222,11748.96342,12092.575,11596.7368,12090.015,11569.66575,12105.462,11774.12969,12095.146,12041.30795,12018.302,12022.65577,11834.685,11819.23186,11523.827,11426.65281,11093.486,10709.78828,10600.402,10059.08486,10123.568,9640.141202,9725.515,9373.396517,9471.107,9246.693164,9416.843,9233.149494,9571.713,9436.646968,9906.441,10065.82654,10342.341,10811.20575,10800.482,10862.27064,11202.999,10757.91424
