datetime,fit_0,actual_0,fit_1,actual_1,fit_2,actual_2,fit_3,actual_3,fit_4,actual_4,fit_5,actual_5,fit_6,actual_6,fit_7,actual_7,fit_8,actual_8,fit_9,actual_9,fit_10,actual_10,fit_11,actual_11,fit_12,actual_12,fit_13,actual_13,fit_14,actual_14,fit_15,actual_15,fit_16,actual_16,fit_17,actual_17,fit_18,actual_18,fit_19,actual_19,fit_20,actual_20,fit_21,actual_21,fit_22,actual_22,fit_23,actual_23
2018-02-13 00:00:00,10684.424,10551.37879,10587.186,10322.58947,10630.229,10207.63221,10835.434,10228.66728,11177.941,10493.93739,11592.232,11240.9854,11989.069,12139.22309,12267.76,12378.72625,12389.281,12362.24688,12388.24,12408.83545,12304.434,12473.09419,12171.61,12355.20816,12003.7705,12162.69602,11839.205,11941.24273,11711.264,11748.96342,11639.713,11596.7368,11633.648,11569.66575,11681.214,11774.12969,11722.248,12041.30795,11693.283,12022.65577,11561.66,11819.23186,11331.961,11426.65281,11031.38,10709.78828,10735.036,10059.08486
2018-02-13 01:00:00,10657.263,10322.58947,10667.325,10207.63221,10846.544,10228.66728,11187.591,10493.93739,11629.829,11240.9854,12093.6875,12139.22309,12489.728,12378.72625,12723.978,12362.24688,12760.487,12408.83545,12651.809,12473.09419,12450.544,12355.20816,12210.142,12162.69602,11969.678,11941.24273,11798.114,11748.96342,11723.977,11596.7368,11740.255,11569.66575,11805.049,11774.12969,11865.501,12041.30795,11850.293,12022.65577,11709.754,11819.23186,11447.026,11426.65281,11114.846,10709.78828,10779.18,10059.08486,10502.236,9640.141202
2018-02-13 02:00:00,10724.162,10207.63221,10952.479,10228.66728,11268.741,10493.93739,11606.866,11240.9854,11907.5625,12139.22309,12133.346,12378.72625,12256.439,12362.24688,12250.288,12408.83545,12120.804,12473.09419,11941.4375,12355.20816,11769.633,12162.69602,11642.597,11941.24273,11569.949,11748.96342,11573.349,11596.7368,11634.178,11569.66575,11701.049,11774.12969,11709.378,12041.30795,11620.172,12022.65577,11424.712,11819.23186,11137.566,11426.65281,10798.628,10709.78828,10471.412,10059.08486,10237.085,9640.141202,10146.25,9373.396517
2018-02-13 03:00:00,10671.815,10228.66728,11139.258,10493.93739,11626.671,11240.9854,12036.497,12139.22309,12315.269,12378.72625,12469.582,12362.24688,12534.453,12408.83545,12524.401,12473.09419,12443.08,12355.20816,12332.464,12162.69602,12212.111,11941.24273,12098.012,11748.96342,11997.37,11596.7368,11935.175,11569.66575,11888.002,11774.12969,11799.738,12041.30795,11608.216,12022.65577,11282.509,11819.23186,10850.886,11426.65281,10390.293,10709.78828,9979.714,10059.08486,9701.74,9640.141202,9623.009,9373.396517,9757.974,9246.693164
2018-02-13 04:00:00,11319.149,10493.93739,11850.68,11240.9854,12317.902,12139.22309,12633.512,12378.72625,12765.843,12362.24688,12750.833,12408.83545,12648.937,12473.09419,12504.727,12355.20816,12338.241,12162.69602,12184.484,11941.24273,12049.552,11748.96342,11936.385,11596.7368,11842.892,11569.66575,11771.828,11774.12969,11691.406,12041.30795,11547.486,12022.65577,11292.375,11819.23186,10925.484,11426.65281,10504.527,10709.78828,10108.083,10059.08486,9798.338,9640.141202,9651.475,9373.396517,9730.189,9246.693164,10031.168,9233.149494
2018-02-13 05:00:00,11518.446,11240.9854,12090.973,12139.22309,12557.076,12378.72625,12837.936,12362.24688,12920.378,12408.83545,12852.488,12473.09419,12691.351,12355.20816,12489.27,12162.69602,12279.227,11941.24273,12092.096,11748.96342,11933.31,11596.7368,11805.769,11569.66575,11698.122,11774.12969,11592.966,12041.30795,11456.454,12022.65577,11246.139,11819.23186,10932.604,11426.65281,10538.363,10709.78828,10131.898,10059.08486,9781.553,9640.141202,9535.021,9373.396517,9460.759,9246.693164,9615.529,9233.149494,9997.077,9436.646968
2018-02-13 06:00:00,11640.002,12139.22309,12189.082,12378.72625,12606.645,12362.24688,12831.352,12408.83545,12865.169,12473.09419,12762.558,12355.20816,12577.951,12162.69602,12361.502,11941.24273,12149.322,11748.96342,11967.838,11596.7368,11819.456,11569.66575,11699.248,11774.12969,11585.513,12041.30795,11451.46,12022.65577,11263.784,11819.23186,10994.651,11426.65281,10632.428,10709.78828,10212.94,10059.08486,9813.722,9640.141202,9501.652,9373.396517,9317.95,9246.693164,9320.161,9233.149494,9545.62,9436.646968,9975.232,10065.82654
2018-02-13 07:00:00,12160.744,12378.72625,12537.054,12362.24688,12746.129,12408.83545,12794.102,12473.09419,12722.717,12355.20816,12589.067,12162.69602,12432.623,11941.24273,12279.335,11748.96342,12150.342,11596.7368,12053.376,11569.66575,11973.406,11774.12969,11878.799,12041.30795,11727.821,12022.65577,11485.826,11819.23186,11141.191,11426.65281,10721.52,10709.78828,10274.546,10059.08486,9858.099,9640.141202,9551.259,9373.396517,9408.334,9246.693164,9441.576,9233.149494,9659.433,9436.646968,10034.603,10065.82654,10507.657,10811.20575
2018-02-13 08:00:00,12362.432,12362.24688,12510.8955,12408.83545,12486.935,12473.09419,12358.6455,12355.20816,12199.782,12162.69602,12060.137,11941.24273,11962.037,11748.96342,11902.216,11596.7368,11879.656,11569.66575,11877.241,11774.12969,11860.467,12041.30795,11777.938,12022.65577,11584.721,11819.23186,11254.907,11426.65281,10803.261,10709.78828,10307.462,10059.08486,9864.765,9640.141202,9540.458,9373.396517,9396.675,9246.693164,9463.042,9233.149494,9715.798,9436.646968,10112.613,10065.82654,10571.023,10811.20575,11005.992,10862.27064
2018-02-13 09:00:00,12421.134,12408.83545,12542.228,12473.09419,12526.171,12355.20816,12426.749,12162.69602,12293.828,11941.24273,12174.34,11748.96342,12099.283,11596.7368,12068.37,11569.66575,12062.027,11774.12969,12042.582,12041.30795,11966.208,12022.65577,11792.285,11819.23186,11500.396,11426.65281,11095.711,10709.78828,10626.645,10059.08486,10177.874,9640.141202,9833.426,9373.396517,9644.307,9246.693164,9653.809,9233.149494,9867.213,9436.646968,10227.23,10065.82654,10669.298,10811.20575,11115.783,10862.27064,11502.263,10757.91424
2018-02-13 10:00:00,12071.853,12473.09419,12130.281,12355.20816,12101.347,12162.69602,12024.837,11941.24273,11927.485,11748.96342,11853.978,11596.7368,11847.429,11569.66575,11905.552,11774.12969,11984.811,12041.30795,12016.728,12022.65577,11939.659,11819.23186,11715.319,11426.65281,11346.188,10709.78828,10874.001,10059.08486,10383.729,9640.141202,9965.811,9373.396517,9694.206,9246.693164,9617.186,9233.149494,9765.735,9436.646968,10122.767,10065.82654,10592.158,10811.20575,11074.653,10862.27064,11490.836,10757.91424,11797.695,10768.36054
2018-02-13 11:00:00,11584.5205,12355.20816,11571.531,12162.69602,11541.804,11941.24273,11517.534,11748.96342,11505.368,11596.7368,11529.761,11569.66575,11613.02,11774.12969,11733.452,12041.30795,11831.288,12022.65577,11835.304,11819.23186,11695.983,11426.65281,11407.505,10709.78828,11009.641,10059.08486,10574.452,9640.141202,10200.985,9373.396517,9959.4375,9246.693164,9894.586,9233.149494,10028.311,9436.646968,10348.335,10065.82654,10793.587,10811.20575,11256.6045,10862.27064,11650.643,10757.91424,11932.913,10768.36054,12091.022,10775.54392
2018-02-13 12:00:00,11529.908,12162.69602,11611.102,11941.24273,11727.827,11748.96342,11872.573,11596.7368,12017.149,11569.66575,12133.917,11774.12969,12192.588,12041.30795,12158.589,12022.65577,12000.46,11819.23186,11713.031,11426.65281,11321.196,10709.78828,10882.436,10059.08486,10467.282,9640.141202,10148.657,9373.396517,9990.393,9246.693164,10002.361,9233.149494,10173.451,9436.646968,10481.092,10065.82654,10876.544,10811.20575,11284.174,10862.27064,11636.554,10757.91424,11902.622,10768.36054,12083.877,10775.54392,12188.403,10795.73353
2018-02-13 13:00:00,11586.728,11941.24273,11600.52,11748.96342,11683.418,11596.7368,11820.286,11569.66575,11965.77,11774.12969,12056.832,12041.30795,12040.622,12022.65577,11888.238,11819.23186,11589.603,11426.65281,11189.457,10709.78828,10757.147,10059.08486,10371.702,9640.141202,10095.625,9373.396517,9995.076,9246.693164,10103.372,9233.149494,10386.767,9436.646968,10752.233,10065.82654,11107.884,10811.20575,11383.087,10862.27064,11550.252,10757.91424,11615.954,10768.36054,11597.045,10775.54392,11537.564,10795.73353,11464.89,10773.13002
2018-02-13 14:00:00,11473.476,11748.96342,11490.826,11596.7368,11575.811,11569.66575,11695.132,11774.12969,11793.078,12041.30795,11806.536,12022.65577,11698.645,11819.23186,11469.144,11426.65281,11131.996,10709.78828,10745.595,10059.08486,10379.076,9640.141202,10100.2705,9373.396517,9958.7705,9246.693164,10003.612,9233.149494,10240.962,9436.646968,10611.916,10065.82654,10997.466,10811.20575,11300.817,10862.27064,11464.97,10757.91424,11488.024,10768.36054,11400.421,10775.54392,11235.855,10795.73353,11062.939,10773.13002,10928.48,10852.78378
2018-02-13 15:00:00,11483.8545,11596.7368,11535.198,11569.66575,11638.093,11774.12969,11730.659,12041.30795,11741.704,12022.65577,11625.669,11819.23186,11390.779,11426.65281,11080.674,10709.78828,10730.73,10059.08486,10399.45,9640.141202,10150.197,9373.396517,10034.201,9246.693164,10079.42,9233.149494,10300.318,9436.646968,10661.608,10065.82654,11074.048,10811.20575,11423.802,10862.27064,11637.587,10757.91424,11692.402,10768.36054,11608.799,10775.54392,11436.615,10795.73353,11220.415,10773.13002,11035.609,10852.78378,10921.884,10974.55664
2018-02-13 16:00:00,11878.297,11569.66575,11923.915,11774.12969,11934.36,12041.30795,11853.469,12022.65577,11641.946,11819.23186,11295.659,11426.65281,10867.583,10709.78828,10446.105,10059.08486,10093.719,9640.141202,9851.846,9373.396517,9751.714,9246.693164,9813.06,9233.149494,10034.165,9436.646968,10379.783,10065.82654,10790.584,10811.20575,11181.324,10862.27064,11489.541,10757.91424,11685.369,10768.36054,11764.382,10775.54392,11738.942,10795.73353,11648.58,10773.13002,11528.419,10852.78378,11438.99,10974.55664,11417.609,11098.30772
2018-02-13 17:00:00,12038.139,11774.12969,12015.16,12041.30795,11915.573,12022.65577,11704.062,11819.23186,11363.107,11426.65281,10917.634,10709.78828,10447.273,10059.08486,10048.767,9640.141202,9779.0625,9373.396517,9660.107,9246.693164,9703.003,9233.149494,9903.893,9436.646968,10235.406,10065.82654,10633.978,10811.20575,11030.429,10862.27064,11355.715,10757.91424,11589.217,10768.36054,11724.535,10775.54392,11770.4,10795.73353,11742.007,10773.13002,11681.147,10852.78378,11616.312,10974.55664,11581.7295,11098.30772,11591.44,11137.98887
2018-02-13 18:00:00,12320.968,12041.30795,12071.931,12022.65577,11697.674,11819.23186,11209.316,11426.65281,10641.649,10709.78828,10074.273,10059.08486,9622.493,9640.141202,9370.443,9373.396517,9335.822,9246.693164,9492.303,9233.149494,9811.346,9436.646968,10238.023,10065.82654,10693.989,10811.20575,11101.697,10862.27064,11419.334,10757.91424,11639.576,10768.36054,11781.725,10775.54392,11845.9,10795.73353,11847.665,10773.13002,11815.801,10852.78378,11775.891,10974.55664,11732.773,11098.30772,11678.905,11137.98887,11607.99,11065.42814
2018-02-13 19:00:00,12087.924,12022.65577,11700.224,11819.23186,11207.803,11426.65281,10670.192,10709.78828,10148.691,10059.08486,9727.262,9640.141202,9500.439,9373.396517,9509.295,9246.693164,9734.996,9233.149494,10105.028,9436.646968,10546.9,10065.82654,10983.002,10811.20575,11344.585,10862.27064,11587.257,10757.91424,11706.818,10768.36054,11742.211,10775.54392,11748.794,10795.73353,11740.479,10773.13002,11726.055,10852.78378,11720.233,10974.55664,11719.242,11098.30772,11712.595,11137.98887,11661.141,11065.42814,11536.196,11210.35598
2018-02-13 20:00:00,11758.505,11819.23186,11280.265,11426.65281,10749.084,10709.78828,10246.686,10059.08486,9838.67,9640.141202,9588.482,9373.396517,9557.799,9246.693164,9749.113,9233.149494,10116.667,9436.646968,10572.227,10065.82654,11032.515,10811.20575,11422.018,10862.27064,11690.789,10757.91424,11824.706,10768.36054,11852.659,10775.54392,11832.418,10795.73353,11814.547,10773.13002,11807.532,10852.78378,11823.102,10974.55664,11879.771,11098.30772,11950.903,11137.98887,11985.8545,11065.42814,11919.727,11210.35598,11723.265,11253.16716
2018-02-13 21:00:00,11598.551,11426.65281,11110.399,10709.78828,10597.605,10059.08486,10148.642,9640.141202,9827.625,9373.396517,9682.363,9246.693164,9745.657,9233.149494,9994.502,9436.646968,10376.049,10065.82654,10810.248,10811.20575,11217.368,10862.27064,11532.781,10757.91424,11726.089,10768.36054,11800.711,10775.54392,11799.333,10795.73353,11777.366,10773.13002,11770.388,10852.78378,11781.549,10974.55664,11826.371,11098.30772,11922.682,11137.98887,12034.255,11065.42814,12096.875,11210.35598,12037.81,11253.16716,11828.178,11047.47888
2018-02-13 22:00:00,10823.727,10709.78828,10389.188,10059.08486,10014.132,9640.141202,9780.697,9373.396517,9730.194,9246.693164,9866.143,9233.149494,10162.361,9436.646968,10548.953,10065.82654,10964.874,10811.20575,11364.186,10862.27064,11697.796,10757.91424,11923.568,10768.36054,12033.587,10775.54392,12054.387,10795.73353,12020.6,10773.13002,11961.631,10852.78378,11886.858,10974.55664,11812.125,11098.30772,11767.6,11137.98887,11760.193,11065.42814,11751.489,11210.35598,11690.787,11253.16716,11528.291,11047.47888,11244.599,10686.77605
2018-02-13 23:00:00,9968.49,10059.08486,9594.65,9640.141202,9355.618,9373.396517,9316.107,9246.693164,9492.806,9233.149494,9853.055,9436.646968,10329.245,10065.82654,10829.603,10811.20575,11293.242,10862.27064,11688.322,10757.91424,11986.693,10768.36054,12171.248,10775.54392,12256.891,10795.73353,12265.986,10773.13002,12219.319,10852.78378,12134.826,10974.55664,12020.267,11098.30772,11893.134,11137.98887,11772.475,11065.42814,11650.175,11210.35598,11498.752,11253.16716,11284.272,11047.47888,10983.79,10686.77605,10604.016,10131.80875
2018-02-14 00:00:00,9299.814,9640.141202,9064.801,9373.396517,9016.62,9246.693164,9183.653,9233.149494,9548.943,9436.646968,10043.955,10065.82654,10573.834,10811.20575,11057.383,10862.27064,11456.123,10757.91424,11762.042,10768.36054,11972.872,10775.54392,12105.521,10795.73353,12195.2705,10773.13002,12246.992,10852.78378,12252.469,10974.55664,12213.001,11098.30772,12132.92,11137.98887,12013.741,11065.42814,11841.2295,11210.35598,11589.911,11253.16716,11257.201,11047.47888,10859.976,10686.77605,10422.081,10131.80875,9986.109,9503.903182
2018-02-14 01:00:00,9001.9,9373.396517,9040.393,9246.693164,9251.964,9233.149494,9599.829,9436.646968,10021.072,10065.82654,10448.959,10811.20575,10840.185,10862.27064,11181.314,10757.91424,11468.349,10768.36054,11699.823,10775.54392,11872.828,10795.73353,11998.921,10773.13002,12099.716,10852.78378,12167.623,10974.55664,12172.599,11098.30772,12099.299,11137.98887,11946.082,11065.42814,11705.881,11210.35598,11353.911,11253.16716,10885.449,11047.47888,10345.663,10686.77605,9817.211,10131.80875,9371.825,9503.903182,9056.578,9023.281644
2018-02-14 02:00:00,9078.455,9246.693164,9378.872,9233.149494,9800.98,9436.646968,10268.522,10065.82654,10706.1045,10811.20575,11070.779,10862.27064,11367.29,10757.91424,11614.757,10768.36054,11818.091,10775.54392,11974.342,10795.73353,12073.4375,10773.13002,12123.489,10852.78378,12145.627,10974.55664,12144.245,11098.30772,12086.707,11137.98887,11941.452,11065.42814,11684.909,11210.35598,11300.098,11253.16716,10785.9375,11047.47888,10195.613,10686.77605,9614.914,10131.80875,9146.944,9503.903182,8858.774,9023.281644,8769.096,8741.299351
2018-02-14 03:00:00,9104.373,9233.149494,9558.236,9436.646968,10097.052,10065.82654,10628.06,10811.20575,11075.5205,10862.27064,11411.786,10757.91424,11664.3545,10768.36054,11864.241,10775.54392,12020.232,10795.73353,12131.63,10773.13002,12189.548,10852.78378,12199.625,10974.55664,12176.899,11098.30772,12124.458,11137.98887,12005.33,11065.42814,11779.767,11210.35598,11420.094,11253.16716,10920.234,11047.47888,10308.034,10686.77605,9673.387,10131.80875,9114.641,9503.903182,8728.801,9023.281644,8569.113,8741.299351,8635.309,8597.099201
2018-02-14 04:00:00,9346.621,9436.646968,9882.655,10065.82654,10465.511,10811.20575,11006.535,10862.27064,11444.351,10757.91424,11762.747,10768.36054,11988.035,10775.54392,12139.72,10795.73353,12220.064,10773.13002,12237.57,10852.78378,12195.566,10974.55664,12107.954,11098.30772,11987.505,11137.98887,11843.969,11065.42814,11652.632,11210.35598,11379.396,11253.16716,10992.315,11047.47888,10483.827,10686.77605,9890.664,10131.80875,9316.712,9503.903182,8855.72,9023.281644,8587.543,8741.299351,8550.298,8597.099201,8734.424,8528.296856
2018-02-14 05:00:00,9806.131,10065.82654,10348.509,10811.20575,10874.234,10862.27064,11325.673,10757.91424,11675.577,10768.36054,11922.127,10775.54392,12079.365,10795.73353,12152.078,10773.13002,12145.394,10852.78378,12083.567,10974.55664,11983.876,11098.30772,11855.035,11137.98887,11685.133,11065.42814,11462.472,11210.35598,11167.926,11253.16716,10795.532,11047.47888,10342.727,10686.77605,9822.908,10131.80875,9291.213,9503.903182,8847.236,9023.281644,8562.252,8741.299351,8483.678,8597.099201,8617.375,8528.296856,8932.085,8697.72219
2018-02-14 06:00:00,10225.998,10811.20575,10775.646,10862.27064,11282.198,10757.91424,11711.776,10768.36054,12050.532,10775.54392,12289.658,10795.73353,12412.778,10773.13002,12425.217,10852.78378,12357.998,10974.55664,12242.105,11098.30772,12094.224,11137.98887,11909.41,11065.42814,11652.891,11210.35598,11303.897,11253.16716,10854.206,11047.47888,10331.158,10686.77605,9770.158,10131.80875,9220.515,9503.903182,8752.696,9023.281644,8443.131,8741.299351,8331.835,8597.099201,8430.709,8528.296856,8717.125,8697.72219,9146.647,9186.953255
2018-02-14 07:00:00,10525.83,10862.27064,10984.066,10757.91424,11352.543,10768.36054,11634.011,10775.54392,11846.196,10795.73353,11990.421,10773.13002,12049.688,10852.78378,12026.842,10974.55664,11953.658,11098.30772,11847.008,11137.98887,11706.341,11065.42814,11506.807,11210.35598,11204.748,11253.16716,10782.061,11047.47888,10245.118,10686.77605,9655.038,10131.80875,9082.66,9503.903182,8592.299,9023.281644,8250.499,8741.299351,8113.584,8597.099201,8192.187,8528.296856,8465.425,8697.72219,8878.292,9186.953255,9371.66,10074.4828
2018-02-14 08:00:00,10937.132,10757.91424,11375.756,10768.36054,11699.874,10775.54392,11917.404,10795.73353,12048.858,10773.13002,12091.733,10852.78378,12037.992,10974.55664,11904.045,11098.30772,11730.842,11137.98887,11535.664,11065.42814,11311.047,11210.35598,11039.823,11253.16716,10708.627,11047.47888,10309.692,10686.77605,9836.706,10131.80875,9343.695,9503.903182,8908.912,9023.281644,8583.867,8741.299351,8405.654,8597.099201,8394.254,8528.296856,8545.172,8697.72219,8854.982,9186.953255,9286.635,10074.4828,9787.622,10330.36833
2018-02-14 09:00:00,11220.879,10768.36054,11643.987,10775.54392,11962.095,10795.73353,12172.79,10773.13002,12283.328,10852.78378,12292.906,10974.55664,12200.291,11098.30772,12023.767,11137.98887,11801.767,11065.42814,11544.725,11210.35598,11244.279,11253.16716,10890.741,11047.47888,10485.389,10686.77605,10039.479,10131.80875,9560.468,9503.903182,9108.59,9023.281644,8754.561,8741.299351,8533.239,8597.099201,8463.865,8528.296856,8543.633,8697.72219,8751.485,9186.953255,9083.307,10074.4828,9505.982,10330.36833,9978.666,10515.46515
2018-02-14 10:00:00,11100.605,10775.54392,11479.756,10795.73353,11794.952,10773.13002,12027.573,10852.78378,12157.698,10974.55664,12174.18,11098.30772,12080.072,11137.98887,11900.299,11065.42814,11666.289,11210.35598,11369.502,11253.16716,10994.077,11047.47888,10542.395,10686.77605,10045.154,10131.80875,9548.471,9503.903182,9087.4375,9023.281644,8723.162,8741.299351,8505.768,8597.099201,8450.139,8528.296856,8547.918,8697.72219,8768.588,9186.953255,9064.475,10074.4828,9422.086,10330.36833,9817.227,10515.46515,10227.4,10825.28534
2018-02-14 11:00:00,11048.633,10795.73353,11309.867,10773.13002,11554.921,10852.78378,11763.495,10974.55664,11895.403,11098.30772,11926.145,11137.98887,11853.478,11065.42814,11696.56,11210.35598,11468.136,11253.16716,11136.809,11047.47888,10689.09,10686.77605,10151.35,10131.80875,9592.703,9503.903182,9091.913,9023.281644,8703.954,8741.299351,8477.576,8597.099201,8449.456,8528.296856,8626.256,8697.72219,8965.361,9186.953255,9386.091,10074.4828,9806.756,10330.36833,10206.3955,10515.46515,10572.865,10825.28534,10897.164,11101.6966
2018-02-14 12:00:00,11575.007,10773.13002,11740.041,10852.78378,11887.414,10974.55664,11995.272,11098.30772,12034.883,11137.98887,11979.324,11065.42814,11804.573,11210.35598,11506.019,11253.16716,11098.0205,11047.47888,10598.965,10686.77605,10054.448,10131.80875,9518.764,9503.903182,9054.387,9023.281644,8736.079,8741.299351,8599.713,8597.099201,8649.196,8528.296856,8866.798,8697.72219,9215.494,9186.953255,9636.764,10074.4828,10061.976,10330.36833,10447.981,10515.46515,10790.391,10825.28534,11085.414,11101.6966,11327.786,11261.05725
